Q6P2Q9	PRPF8
P35498	SCN1A
Q9Y5Y9	SCN10A
Q15858	SCN9A
Q9UQD0	SCN8A
P35499	SCN4A
Q01118	SCN7A
Q9UI33	SCN11A
Q13698	CACNA1S
Q13936	CACNA1C
Q01668	CACNA1D
O00555	CACNA1A
O60840	CACNA1F
Q00975	CACNA1B
O43497	CACNA1G
Q9P0X4	CACNA1I
Q15878	CACNA1E
O95180	CACNA1H
P50077	CCH1
P21675	TAF1
Q8IZX4	TAF1L
P46677	TAF1
Q15393	SF3B3
Q04693	RSE1
Q9UBT2	UBA2
P52488	UBA2
O60488	ACSL4
O95573	ACSL3
P47912	FAA4
P39002	FAA3
P30624	FAA1
O95155	UBE4B
P54860	UFD2
Q9H2P9	DPH5
P32469	DPH5
Q13867	BLMH
Q01532	LAP3
Q16850	CYP51A1
P10614	ERG11
P33121	ACSL1
Q9UKU0	ACSL6
Q9ULC5	ACSL5
P39518	FAA2
P05198	EIF2S1
P20459	SUI2
P40926	MDH2
P17505	MDH1
Q9UI26	IPO11
Q02932	KAP120
Q7Z7A3	CTU1
P53088	NCS6
Q15181	PPA1
Q9H2U2	PPA2
P00817	IPP1
Q96GW9	MARS2
P22438	MSM1
P61313	RPL15
P05748	RPL15A
P54780	RPL15B
P61421	ATP6V0D1
Q8N8Y2	ATP6V0D2
P32366	VMA6
Q96EF0	MTMR8
Q9Y216	MTMR7
Q9Y217	MTMR6
Q13614	MTMR2
P47147	YMR1
O00267	SUPT5H
P27692	SPT5
Q9UNQ0	ABCG2
P25371	ADP1
P55735	SEC13
Q04491	SEC13
Q9ULM6	CNOT6
Q96LI5	CNOT6L
P31384	CCR4
O75140	DEPDC5
P47170	IML1
Q8WUM9	SLC20A1
Q08357	SLC20A2
P38361	PHO89
O15160	POLR1C
P07703	RPC40
P08574	CYC1
P07143	CYT1
P14324	FDPS
P08524	ERG20
Q9BVC4	MLST8
P41318	LST8
Q96QE2	SLC2A13
P30606	ITR2
P30605	ITR1
O95363	FARS2
P08425	MSF1
P37268	FDFT1
P29704	ERG9
Q13042	CDC16
P09798	CDC16
Q13144	EIF2B5
P32501	GCD6
Q08AM6	VAC14
Q06708	VAC14
Q05932	FPGS
Q08645	MET7
Q9Y672	ALG6
Q12001	ALG6
Q7L523	RRAGA
Q5VZM2	RRAGB
Q00582	GTR1
P54886	ALDH18A1
P54885	PRO2
Q9H3H5	DPAGT1
P07286	ALG7
P23396	RPS3
P05750	RPS3
Q13347	EIF3I
P40217	TIF34
Q6PI48	DARS2
P15179	MSD1
Q9GZR7	DDX24
P38112	MAK5
Q9Y3T9	NOC2L
P39744	NOC2
Q9Y2T3	GDA
Q07729	GUD1
P12236	SLC25A6
P05141	SLC25A5
P12235	SLC25A4
Q9H0C2	SLC25A31
P18238	AAC3
P18239	PET9
P04710	AAC1
O95373	IPO7
O15397	IPO8
P46970	NMD5
P61247	RPS3A
P23248	RPS1B
P33442	RPS1A
Q9HB90	RRAGC
Q9NQL2	RRAGD
P53290	GTR2
P35232	PHB
P40961	PHB1
Q13724	MOGS
P53008	CWH41
Q9H8H2	DDX31
P36120	DBP7
Q9UKM7	MAN1B1
P32906	MNS1
Q9P0L2	MARK1
Q7KZI7	MARK2
P27448	MARK3
Q96L34	MARK4
P06782	SNF1
P20226	TBP
Q6SJ96	TBPL2
P13393	SPT15
P46777	RPL5
P26321	RPL5
P49915	GMPS
P38625	GUA1
P62820	RAB1A
Q9H0U4	RAB1B
Q92928	RAB1C
P01123	YPT1
Q14739	LBR
O76062	TM7SF2
P32462	ERG24
P84077	ARF1
P61204	ARF3
P18085	ARF4
P19146	ARF2
P11076	ARF1
Q08945	SSRP1
Q04636	POB3
Q9H501	ESF1
Q06344	ESF1
Q6PJI9	WDR59
Q03897	MTC5
Q8TEQ8	PIGO
Q07830	GPI13
P09467	FBP1
O00757	FBP2
P09201	FBP1
Q13888	GTF2H2
Q6P1K8	GTF2H2C
Q04673	SSL1
Q8IXI2	RHOT1
Q8IXI1	RHOT2
P39722	GEM1
Q96HL8	SH3YL1
P32793	YSC84
P43603	LSB3
O43681	ASNA1
Q12154	GET3
Q8IYB8	SUPV3L1
P32580	SUV3
Q9NWZ5	UCKL1
P27515	URK1
P62753	RPS6
P0CX38	RPS6B
P0CX37	RPS6A
Q14534	SQLE
P32476	ERG1
Q08752	PPID
P53691	CPR6
Q5H8A4	PIGG
P40367	LAS21
Q86WU2	LDHD
P32891	DLD1
Q9BVS4	RIOK2
P40160	RIO2
Q9BRS2	RIOK1
Q12196	RIO1
P07339	CTSD
H7C469	
O96009	NAPSA
P14091	CTSE
P0DJD7	PGA4
P0DJD8	PGA3
P0DJD9	PGA5
P00797	REN
P07267	PEP4
P08243	ASNS
P49090	ASN2
P49089	ASN1
O76031	CLPX
P38323	MCX1
Q13895	BYSL
P38333	ENP1
Q9BW19	KIFC1
P17119	KAR3
Q99623	PHB2
P50085	PHB2
Q9Y5Y2	NUBP2
P40558	CFD1
Q9HAZ1	CLK4
P49759	CLK1
P49760	CLK2
P49761	CLK3
P32350	KNS1
O14818	PSMA7
Q8TAA3	PSMA8
P40303	PRE6
Q92903	CDS1
O95674	CDS2
P38221	CDS1
O75191	XYLB
P42826	XKS1
Q9UBP6	METTL1
Q12009	TRM8
O14975	SLC27A2
Q9Y2P4	SLC27A6
Q9Y2P5	SLC27A5
Q5K4L6	SLC27A3
Q6P1M0	SLC27A4
Q6PCB7	SLC27A1
P38225	FAT1
P62424	RPL7A
P29453	RPL8B
P17076	RPL8A
P27635	RPL10
Q96L21	RPL10L
P41805	RPL10
Q6P1R4	DUS1L
P53759	DUS1
Q9NWU1	OXSM
P39525	CEM1
Q86YJ6	THNSL2
P16120	THR4
Q7Z695	ADCK2
Q02981	
P45974	USP5
Q92995	USP13
P38237	UBP14
P49643	PRIM2
P20457	PRI2
P40938	RFC3
P38251	RFC5
Q96I59	NARS2
P25345	SLM5
P08865	RPSA
A6NE09	
P32905	RPS0A
P46654	RPS0B
Q15067	ACOX1
Q99424	ACOX2
P13711	POX1
Q5JPH6	EARS2
P48525	MSE1
Q9Y496	KIF3A
O15066	KIF3B
O14782	KIF3C
Q96L93	KIF16B
P27895	CIN8
Q00796	SORD
Q07993	XYL2
P35497	SOR1
Q07786	SOR2
P15880	RPS2
P25443	RPS2
P49917	LIG4
Q08387	DNL4
O14965	AURKA
Q96GD4	AURKB
Q9UQB9	AURKC
P38991	IPL1
O15305	PMM2
Q92871	PMM1
P07283	SEC53
Q9UH03	SEPTIN3
Q8IYM1	SEPTIN12
P25342	CDC10
O60508	CDC40
P40968	CDC40
O95396	MOCS3
P38820	UBA4
P50613	CDK7
P06242	KIN28
P34949	MPI
P29952	PMI40
P78406	RAE1
P40066	GLE2
P13804	ETFA
Q12480	AIM45
Q96G21	IMP4
P53941	IMP4
P49336	CDK8
Q9BWU1	CDK19
P39073	SSN3
Q09028	RBBP4
Q16576	RBBP7
P39984	HAT2
Q14191	WRN
P35187	SGS1
Q92581	SLC9A6
Q96T83	SLC9A7
Q8IVB4	SLC9A9
Q04121	NHX1
O94979	SEC31A
Q9NQW1	SEC31B
P38968	SEC31
O00400	SLC33A1
P38318	
P30260	CDC27
P38042	CDC27
Q10713	PMPCA
P11914	MAS2
Q92759	GTF2H4
Q02939	TFB2
Q9H3S5	PIGM
P47088	GPI14
P28074	PSMB5
P28062	PSMB8
P30656	PRE2
Q9H4L5	OSBPL3
Q9BZF3	OSBPL6
Q9BZF2	OSBPL7
P38713	OSH3
P43155	CRAT
P28329	CHAT
P32796	CAT2
Q00325	SLC25A3
P40035	PIC2
Q8NBU5	ATAD1
P28737	MSP1
Q9NQH7	XPNPEP3
P40051	ICP55
O94973	AP2A2
O95782	AP2A1
P38065	APL3
P40123	CAP2
Q01518	CAP1
P17555	SRV2
Q10570	CPSF1
Q06632	CFT1
Q9UG56	PISD
P39006	PSD1
Q9HB07	C12orf10
P40093	
P61586	RHOA
P08134	RHOC
P62745	RHOB
P06780	RHO1
Q99436	PSMB7
P40306	PSMB10
P25043	PUP1
Q01780	EXOSC10
Q12149	RRP6
Q2TAA5	ALG11
P53954	ALG11
Q9NXC5	MIOS
P38164	SEA4
Q9H553	ALG2
P43636	ALG2
O15229	KMO
P38169	BNA4
P28066	PSMA5
P32379	PUP2
O75845	SC5D
P32353	ERG3
P46781	RPS9
P05755	RPS9B
O13516	RPS9A
P08240	SRPRA
P32916	SRP101
P46782	RPS5
P26783	RPS5
Q7KZN9	COX15
P40086	COX15
P55010	EIF5
P38431	TIF5
Q92994	BRF1
P29056	BRF1
Q9Y617	PSAT1
P33330	SER1
P30838	ALDH3A1
P51648	ALDH3A2
P43353	ALDH3B1
P48448	ALDH3B2
Q04458	HFD1
Q5U5R9	HECTD2
P40985	HUL4
Q9H720	CWH43
P25618	CWH43
Q9H6U8	ALG9
P53868	ALG9
Q9BVJ6	UTP14A
Q5TAP6	UTP14C
Q04500	UTP14
P60174	TPI1
P00942	TPI1
Q15008	PSMD6
Q06103	RPN7
Q9BV20	MRI1
Q06489	MRI1
Q9NQR4	NIT2
P49954	NIT3
O00203	AP3B1
Q13367	AP3B2
P46682	APL6
P23786	CPT2
P80235	YAT1
P62068	USP46
O75317	USP12
P38187	UBP13
P39967	UBP9
Q15907	RAB11B
P62491	RAB11A
P38555	YPT31
P51996	YPT32
Q8IZ73	RPUSD2
Q12069	PUS9
Q12362	RIB2
Q13112	CHAF1B
Q04199	CAC2
Q9BXY0	MAK16
P10962	MAK16
Q8TDN6	BRIX1
Q08235	BRX1
P19174	PLCG1
P16885	PLCG2
O75038	PLCH2
Q9UPR0	PLCL2
P51178	PLCD1
Q9BRC7	PLCD4
P32383	PLC1
O75694	NUP155
P38181	NUP170
P40064	NUP157
P35557	GCK
P04806	HXK1
P04807	HXK2
O15269	SPTLC1
P25045	LCB1
Q9UHB4	NDOR1
Q12181	TAH18
O00506	STK25
Q9Y6E0	STK24
Q9P289	STK26
Q13043	STK4
Q13188	STK3
P08458	SPS1
P62906	RPL10A
P0CX44	RPL1B
P0CX43	RPL1A
P00491	PNP
Q05788	PNP1
Q9UKE5	TNIK
Q8N4C8	MINK1
O95819	MAP4K4
Q7Z2Y5	NRK
P38692	KIC1
P60900	PSMA6
P21243	SCL1
Q9HCS7	XAB2
Q04048	SYF1
P32119	PRDX2
Q06830	PRDX1
Q13162	PRDX4
P34760	TSA1
Q04120	TSA2
O43242	PSMD3
P40016	RPN3
P25789	PSMA4
P23638	PRE9
O75844	ZMPSTE24
P47154	STE24
P54819	AK2
P07170	ADK1
Q969Y2	GTPBP3
P32559	MSS1
Q9Y2X8	UBE2D4
P62837	UBE2D2
P61077	UBE2D3
P51668	UBE2D1
P15731	UBC4
P15732	UBC5
P15259	PGAM2
P18669	PGAM1
Q8N0Y7	PGAM4
P07738	BPGM
P00950	GPM1
O94822	LTN1
Q04781	RKR1
P00414	MT-CO3
P00420	COX3
Q5F1R6	DNAJC21
P53863	JJJ1
Q7Z4G4	TRMT11
Q12463	TRM11
Q9BQ67	GRWD1
Q04225	RRB1
P48728	AMT
P48015	GCV1
Q99613	EIF3C
P32497	NIP1
Q7L3T8	PARS2
P39965	AIM10
Q9UBZ9	REV1
P12689	REV1
Q13627	DYRK1A
Q9Y463	DYRK1B
P14680	YAK1
O75083	WDR1
P46680	AIP1
Q15637	SF1
Q12186	MSL5
Q8TEX9	IPO4
P40069	KAP123
Q96AT9	RPE
P46969	RPE1
Q9UJX2	CDC23
P16522	CDC23
Q01415	GALK2
P04385	GAL1
P13045	GAL3
Q8IWV8	UBR2
Q8IWV7	UBR1
P19812	UBR1
Q9UJM8	HAO1
Q9NYQ3	HAO2
P00175	CYB2
P25788	PSMA3
P21242	PRE10
Q9BT22	ALG1
P16661	ALG1
Q8TBC4	UBA3
Q99344	UBA3
Q9UK59	DBR1
P24309	DBR1
Q9H9Y4	GPN2
Q08726	GPN2
Q9Y2Z4	YARS2
P48527	MSY1
Q7Z569	BRAP
P38748	ETP1
Q9UHW5	GPN3
Q06543	GPN3
P49356	FNTB
H0YHI0	CHURC1-FNTB
P22007	RAM1
P62913	RPL11
P0C0W9	RPL11A
Q3E757	RPL11B
Q9Y4X5	ARIH1
O95376	ARIH2
P36113	HEL1
O43172	PRPF4
P20053	PRP4
P62979	RPS27A
P05759	RPS31
Q13610	PWP1
P21304	PWP1
Q15435	PPP1R7
P36047	SDS22
Q9BZE2	PUS3
P31115	DEG1
Q9Y282	ERGIC3
P39727	ERV46
P62241	RPS8
P0CX40	RPS8B
P0CX39	RPS8A
P49754	VPS41
P38959	VPS41
P48637	GSS
Q08220	GSH2
Q9HAV0	GNB4
P62873	GNB1
P62879	GNB2
P16520	GNB3
O14775	GNB5
P18851	STE4
P18124	RPL7
P05737	RPL7A
Q12213	RPL7B
P25787	PSMA2
P23639	PRE8
O76071	CIAO1
Q05583	CIA1
P20340	RAB6A
Q9NRW1	RAB6B
Q9H0N0	RAB6C
Q5JT25	RAB41
Q99260	YPT6
O14744	PRMT5
P38274	HSL7
P49642	PRIM1
P10363	PRI1
O15047	SETD1A
Q9UPS6	SETD1B
P38827	SET1
O43196	MSH5
A2BEX4	
Q12175	MSH5
Q86WA9	SLC26A11
Q12325	SUL2
P38359	SUL1
Q9Y6R4	MAP3K4
P25390	SSK22
P53599	SSK2
O43709	BUD23
P25627	BUD23
P30793	GCH1
P51601	FOL2
Q9BRX2	PELO
P33309	DOM34
Q9UGM6	WARS2
P04803	MSW1
Q9HCG8	CWC22
P53333	CWC22
O75153	CLUH
Q03690	CLU1
Q8TED0	UTP15
Q04305	UTP15
Q86TW2	ADCK1
Q3MIX3	ADCK5
Q06567	MCP2
Q9Y6M5	SLC30A1
P20107	ZRC1
P32798	COT1
P62277	RPS13
P05756	RPS13
P51149	RAB7A
P32939	YPT7
P54578	USP14
P43593	UBP6
Q9Y324	FCF1
Q05498	FCF1
P30050	RPL12
P0CX54	RPL12B
P0CX53	RPL12A
P00480	OTC
P05150	ARG3
Q8WV93	AFG1L
P32317	AFG1
Q8WU90	ZC3H15
Q12000	TMA46
Q9H9Y2	RPF1
P38805	RPF1
Q15059	BRD3
P25440	BRD2
O60885	BRD4
Q58F21	BRDT
P35817	BDF1
Q07442	BDF2
P84243	H3F3A
Q71DI3	HIST2H3A
P68431	HIST1H3A
Q16695	HIST3H3
Q6NXT2	H3F3C
P61830	HHT1
P25786	PSMA1
P40302	PRE5
P50750	CDK9
Q03957	CTK1
Q92747	ARPC1A
O15143	ARPC1B
P38328	ARC40
P40616	ARL1
P38116	ARL1
Q96H96	COQ2
P32378	COQ2
Q9Y606	PUS1
Q12211	PUS1
Q7Z3V4	UBE3B
Q15386	UBE3C
P53119	HUL5
Q9NQZ7	ENTPD7
Q9Y227	ENTPD4
P40009	YND1
Q9H270	VPS11
P12868	PEP5
P62987	UBA52
P0CH09	RPL40B
P0CH08	RPL40A
P62166	NCS1
Q06389	FRQ1
Q6PD62	CTR9
P89105	CTR9
P30405	PPIF
P62937	PPIA
Q9UNP9	PPIE
P14832	CPR1
P25719	CPR3
P49585	PCYT1A
Q9Y5K3	PCYT1B
P13259	PCT1
Q15274	QPRT
P43619	BNA6
Q9BU89	DOHH
P47120	LIA1
Q9NRX1	PNO1
Q99216	PNO1
P52948	NUP98
P49687	NUP145
Q6R327	RICTOR
P40061	TSC11
Q99543	DNAJC2
P32527	ZUO1
Q9H7B2	RPF2
P36160	RPF2
P55263	ADK
P47143	ADO1
Q8IU85	CAMK1D
Q14012	CAMK1
Q96NX5	CAMK1G
Q6P2M8	PNCK
Q8NCB2	CAMKV
P11801	PSKH1
Q16566	CAMK4
P27466	CMK1
P22517	CMK2
Q06203	PPAT
P04046	ADE4
O95202	LETM1
Q08179	MDM38
P48444	ARCN1
P43621	RET2
Q9GZT4	SRR
P36007	SRY1
Q8WTT2	NOC3L
Q07896	NOC3
Q9UNH5	CDC14A
O60729	CDC14B
A4D256	CDC14C
Q00684	CDC14
Q6YP21	KYAT3
Q16773	KYAT1
P47039	BNA3
Q32P41	TRMT5
P38793	TRM5
Q9UGC7	MTRF1L
O75570	MTRF1
P30775	MRF1
P08397	HMBS
P28789	HEM3
P47756	CAPZB
P13517	CAP2
P22570	FDXR
P48360	ARH1
Q32NB8	PGS1
P25578	PGS1
Q5T2R2	PDSS1
P18900	COQ1
Q9H6R4	NOL6
P53254	UTP22
Q9Y5K8	ATP6V1D
P32610	VMA8
Q8IUF1	CBWD2
Q9BRT8	CBWD1
Q5JTY5	CBWD3
Q5RIA9	CBWD5
Q4V339	CBWD6
A6NM15	
P53729	
Q5HY92	FIGN
Q6PIW4	FIGNL1
A6NMB9	FIGNL2
P39955	SAP1
P49459	UBE2A
P63146	UBE2B
P06104	RAD6
P62266	RPS23
P0CX30	RPS23B
P0CX29	RPS23A
Q2M2I8	AAK1
Q9NSY1	BMP2K
P38080	AKL1
Q70HW3	SLC25A26
P38921	PET8
Q969H0	FBXW7
P39014	MET30
P28072	PSMB6
P28065	PSMB9
P38624	PRE3
Q9NWX6	THG1L
P53215	THG1
O15355	PPM1G
P39966	PTC2
P49720	PSMB3
P25451	PUP3
P12955	PEPD
P43590	
Q9Y2Z9	COQ6
P53318	COQ6
O95544	NADK
P32622	YEF1
P21373	UTR1
Q9H0R6	QRSL1
Q03557	HER2
P19440	GGT1
A6NGU5	GGT3P
P36268	GGT2
P36269	GGT5
Q05902	ECM38
P21283	ATP6V1C1
Q8NEY4	ATP6V1C2
P31412	VMA5
Q8TD22	SFXN5
Q12029	FSF1
Q92930	RAB8B
P61006	RAB8A
P61026	RAB10
P51153	RAB13
P07560	SEC4
P62070	RRAS2
P10301	RRAS
P01119	RAS1
P01120	RAS2
P40429	RPL13A
P26784	RPL16A
P26785	RPL16B
P62263	RPS14
P06367	RPS14A
P39516	RPS14B
Q7Z3C6	ATG9A
Q674R7	ATG9B
Q12142	ATG9
O95628	CNOT4
P34909	MOT2
P13051	UNG
P12887	UNG1
Q92979	EMG1
Q06287	EMG1
P26641	EEF1G
E7EMT2	
P36008	TEF4
P29547	CAM1
Q8IUH5	ZDHHC17
Q8IUH4	ZDHHC13
P39010	AKR1
Q12013	AKR2
P84098	RPL19
P0CX83	RPL19B
P0CX82	RPL19A
P61088	UBE2N
Q5JXB2	UBE2NL
P52490	UBC13
Q9NQ55	PPAN
P38789	SSF1
Q12153	SSF2
Q9NTG7	SIRT3
Q8IXJ6	SIRT2
P53686	HST2
P19387	POLR2C
P16370	RPB3
Q92685	ALG3
P38179	ALG3
P14550	AKR1A1
P15121	AKR1B1
O60218	AKR1B10
C9JRZ8	AKR1B15
Q04828	AKR1C1
P52895	AKR1C2
P51857	AKR1D1
P17516	AKR1C4
P42330	AKR1C3
Q96JD6	AKR1E2
P14065	GCY1
Q12458	YPR1
P11166	SLC2A1
P14672	SLC2A4
P11169	SLC2A3
Q8TDB8	SLC2A14
P11168	SLC2A2
P22732	SLC2A5
Q6PXP3	SLC2A7
Q9NRM0	SLC2A9
Q9BYW1	SLC2A11
P38142	
P53142	VPS73
Q9NYZ2	SLC25A37
Q96A46	SLC25A28
P23500	MRS4
P10566	MRS3
Q8N1F7	NUP93
P34077	NIC96
Q969N2	PIGT
P38875	GPI16
Q9BVI4	NOC4L
Q06512	NOC4
O75175	CNOT3
P06102	NOT3
Q12514	NOT5
P38117	ETFB
P42940	CIR1
P55036	PSMD4
P38886	RPN10
P47985	UQCRFS1
P0C7P4	UQCRFS1P1
P08067	RIP1
P62829	RPL23
P0CX42	RPL23B
P0CX41	RPL23A
Q96CQ1	SLC25A36
Q9BSK2	SLC25A33
P38127	RIM2
O00566	MPHOSPH10
P47083	MPP10
O43683	BUB1
P41695	BUB1
O95620	DUS4L
Q06063	DUS4
Q14232	EIF2B1
P14741	GCN3
Q9H3H1	TRIT1
P07884	MOD5
P25685	DNAJB1
Q9UDY4	DNAJB4
O75953	DNAJB5
P59910	DNAJB13
P25294	SIS1
Q96SU4	OSBPL9
Q9BXB4	OSBPL11
Q9BXB5	OSBPL10
P38755	OSH7
Q02201	OSH6
P55209	NAP1L1
Q99733	NAP1L4
Q9ULW6	NAP1L2
P25293	NAP1
Q13618	CUL3
Q13620	CUL4B
Q13619	CUL4A
P53202	CUL3
P59998	ARPC4
H7C0A3	ARPC4-TTLL3
P33204	ARC19
Q8TCG2	PI4K2B
Q9BTU6	PI4K2A
P42951	LSB6
Q9NP81	SARS2
M0R2C6	
P38705	DIA4
Q9Y6B6	SAR1B
Q9NR31	SAR1A
P20606	SAR1
Q9BV10	ALG12
P53730	ALG12
O75146	HIP1R
O00291	HIP1
P33338	SLA2
Q6P1X5	TAF2
P23255	TAF2
Q9NW13	RBM28
P37838	NOP4
O95749	GGPS1
Q12051	BTS1
Q5HYK3	COQ5
P49017	COQ5
Q8TBB5	KLHDC4
Q08979	KEL3
Q9UI10	EIF2B4
P12754	GCD2
Q9Y221	NIP7
Q08962	NIP7
Q13530	SERINC3
Q9NRX5	SERINC1
Q96SA4	SERINC2
Q86VE9	SERINC5
Q12116	TMS1
P05089	ARG1
P78540	ARG2
P00812	CAR1
P78316	NOP14
Q99207	NOP14
P41229	KDM5C
Q9BY66	KDM5D
P29375	KDM5A
Q9UGL1	KDM5B
Q03214	ECM5
Q13907	IDI1
Q9BXS1	IDI2
P15496	IDI1
P51955	NEK2
P22209	KIN3
P62269	RPS18
P0CX56	RPS18B
P0CX55	RPS18A
Q15738	NSDHL
P53199	ERG26
Q8NBF6	AVL9
Q12500	AVL9
Q9P265	DIP2B
Q9Y2E4	DIP2C
Q14689	DIP2A
Q12275	
Q02750	MAP2K1
P36507	MAP2K2
P06784	STE7
Q8IYT8	ULK2
O75385	ULK1
P53104	ATG1
P23284	PPIB
P45877	PPIC
P35176	CPR5
P23285	CPR2
Q9UPT9	USP22
Q70EK9	USP51
A6NNY8	USP27X
P50102	UBP8
Q5C9Z4	NOM1
Q06132	SGD1
Q9Y673	ALG5
P40350	ALG5
Q9Y5B0	CTDP1
Q03254	FCP1
Q4G0F5	VPS26B
O75436	VPS26A
P40335	PEP8
Q3SYC2	MOGAT2
Q96PD6	MOGAT1
Q96PD7	DGAT2
Q86VF5	MOGAT3
Q58HT5	AWAT1
Q6ZPD8	DGAT2L6
Q6E213	AWAT2
Q08650	DGA1
P63241	EIF5A
Q9GZV4	EIF5A2
Q6IS14	EIF5AL1
P23301	HYP2
P19211	ANB1
P27449	ATP6V0C
P25515	VMA3
P61224	RAP1B
P62834	RAP1A
P61225	RAP2B
P10114	RAP2A
Q9Y3L5	RAP2C
P13856	RSR1
Q9Y2H9	MAST1
Q6P0Q8	MAST2
O15021	MAST4
O60307	MAST3
Q12236	PKH2
Q03407	PKH1
O96017	CHEK2
P22216	RAD53
P39009	DUN1
P13861	PRKAR2A
P31323	PRKAR2B
P07278	BCY1
P24390	KDELR1
P33947	KDELR2
O43731	KDELR3
P18414	ERD2
P62244	RPS15A
P0C0W1	RPS22A
Q3E7Y3	RPS22B
Q13163	MAP2K5
P32490	MKK1
P32491	MKK2
Q9UPZ9	ICK
P20794	MAK
P32581	IME2
Q13868	EXOSC2
P38792	RRP4
Q9HAU5	UPF2
P38798	NMD2
Q9UJK0	TSR3
Q12094	TSR3
P07237	P4HB
Q13087	PDIA2
Q8N807	PDILT
P13667	PDIA4
P30101	PDIA3
P17967	PDI1
P32474	EUG1
O14595	CTDSP2
O15194	CTDSPL
Q9GZU7	CTDSP1
Q07800	PSR1
Q07949	PSR2
P62280	RPS11
P0CX48	RPS11B
P0CX47	RPS11A
P60604	UBE2G2
Q02159	UBC7
Q92521	PIGB
P30777	GPI10
Q96EE3	SEH1L
P53011	SEH1
Q9BY44	EIF2A
P53235	
Q9UBH6	XPR1
P40528	SYG1
Q9NV96	TMEM30A
Q3MIR4	TMEM30B
P25656	CDC50
P53740	
P42838	LEM3
O95067	CCNB2
P14635	CCNB1
P24869	CLB2
P24868	CLB1
Q9HAN9	NMNAT1
Q96T66	NMNAT3
P53204	NMA2
Q06178	NMA1
Q00341	HDLBP
P06105	SCP160
P49005	POLD2
P46957	POL31
P20339	RAB5A
P51148	RAB5C
P61020	RAB5B
K7ERQ8	
P36017	VPS21
P36019	YPT53
P27824	CANX
O14967	CLGN
P27797	CALR
P27825	CNE1
Q15833	STXBP2
P61764	STXBP1
O00186	STXBP3
P30619	SEC1
O43818	RRP9
Q06506	RRP9
P49848	TAF6
P53040	TAF6
Q15257	PTPA
P40454	RRD1
Q96T76	MMS19
P40469	MET18
Q9Y376	CAB39
Q9H9S4	CAB39L
P32464	HYM1
Q13286	CLN3
P47040	YHC3
Q06265	EXOSC9
Q05636	RRP45
O00767	SCD
Q86SK9	SCD5
P21147	OLE1
P53007	SLC25A1
P38152	CTP1
P49247	RPIA
Q12189	RKI1
Q15800	MSMO1
P53045	ERG25
Q9H4K7	MTG2
P38860	MTG2
Q9Y6N1	COX11
P19516	COX11
Q8NDF8	TENT4B
Q5XG87	TENT4A
P53632	PAP2
P48561	TRF5
P10768	ESD
P40363	
P63279	UBE2I
P50623	UBC9
Q07020	RPL18
P0CX50	RPL18B
P0CX49	RPL18A
O75879	GATB
P33893	PET112
P16260	SLC25A16
P38702	LEU5
P62256	UBE2H
P28263	UBC8
Q12887	COX10
P21592	COX10
Q92890	UFD1
P53044	UFD1
Q07837	SLC3A1
P0CW41	IMA4
P0CW40	IMA3
Q08295	IMA2
P53051	IMA1
P38158	MAL32
P53341	MAL12
P40884	IMA5
O60610	DIAPH1
O60879	DIAPH2
Q9NSV4	DIAPH3
Q9Y4D1	DAAM1
Q27J81	INF2
P41832	BNI1
P40450	BNR1
Q9H8S9	MOB1A
Q7L9L4	MOB1B
Q96BX8	MOB3A
Q86TA1	MOB3B
Q70IA8	MOB3C
P40484	MOB1
Q96FL8	SLC47A1
Q86VL8	SLC47A2
Q05497	
P38767	ERC1
O00311	CDC7
P06243	CDC7
P20618	PSMB1
P23724	PRE7
Q7Z3U7	MON2
P48563	MON2
Q04609	FOLH1
Q9Y3Q0	NAALAD2
Q9HBA9	FOLH1B
Q9UQQ1	NAALADL1
P47161	VPS70
Q6IN85	PPP4R3A
Q5MIZ7	PPP4R3B
Q6ZMV5	PPP4R3C
P40164	PSY2
P62081	RPS7
P26786	RPS7A
P48164	RPS7B
Q86YB8	ERO1B
Q96HE7	ERO1A
Q03103	ERO1
P00403	MT-CO2
P00410	COX2
O43633	CHMP2A
P36108	DID4
O75478	TADA2A
Q02336	ADA2
Q9NV31	IMP3
P32899	IMP3
P46778	RPL21
Q02753	RPL21A
Q12672	RPL21B
P12004	PCNA
P15873	POL30
Q53GS9	USP39
P43589	SAD1
Q7Z7B1	PIGW
P47026	GWT1
Q8WTW4	NPRL2
P39923	NPR2
P22392	NME2
P15531	NME1
O60361	NME2P1
Q13232	NME3
P36010	YNK1
P49281	SLC11A2
P49279	SLC11A1
P38925	SMF1
P38778	SMF2
Q12078	SMF3
Q9Y3R5	DOP1B
Q5JWR5	DOP1A
Q03921	DOP1
P20042	EIF2S2
P09064	SUI3
P30041	PRDX6
P34227	PRX1
Q8N5Z0	AADAT
P53090	ARO8
Q9UFF9	CNOT8
Q9UIV1	CNOT7
P39008	POP2
Q58A45	PAN3
P36102	PAN3
P18621	RPL17
P05740	RPL17A
P46990	RPL17B
P24534	EEF1B2
P29692	EEF1D
P32471	EFB1
Q9Y294	ASF1A
Q9NVP2	ASF1B
P32447	ASF1
Q6P3X3	TTC27
P42842	EMW1
Q86X76	NIT1
P47016	NIT2
P10619	CTSA
P38109	
P00729	PRC1
P63098	PPP3R1
Q96LZ3	PPP3R2
P25296	CNB1
Q8IW45	NAXD
P36059	
Q9UHC1	MLH3
Q12083	MLH3
O43617	TRAPPC3
