cluster	bitscore	H.sapiens	S.cerevisiae
1570	104	Q9NPF5	P53201
1574	103	O60931	P17261
1575	103	O43583	P47089
1576	103	P62318	P43321
1577	103	Q6IN84	P25270
1578	103	Q9UI43	P53123
1579	103	Q9UM13	P53068
1580	103	Q9Y5X2	P40959
1590	102	Q15287	P27476
1591	102	P78383	Q12520
1592	102	Q8IUR0	Q03337
1593	102	Q9BUI4	P32349
1594	102	Q9BT17	Q03151
1595	102	Q9H9E3	Q06096
1596	102	Q9BZL1	Q6Q546
1597	102	Q9UJA2	Q07560
1601	101	Q2TAA2	P41734
1602	101	Q9H3S4	P35202
1605	100	O95801	P33313
1606	100	Q9NR50	P09032
1607	100	Q9Y255	Q05776
1612	99	P78346	P38786
1613	99	P32320	Q06549
1614	99	Q86U38	P47077
1615	99	Q969G6	Q03778
1616	99	Q9BWT6	P53102
1617	99	Q9P015	P36520
1618	99	Q9H446	Q03768
1627	97	Q99720	P32352
1628	97	Q9Y2B2	P23797
1629	97	Q9NZM5	Q12080
1637	96	O75683	P36080
1638	96	O14734	P41903
1639	96	O76094	P38688
1640	96	O15116	P47017
1641	96	Q6IPR3	P53177
1642	96	Q86YN1	P53223
1643	96	Q8N3Z3	Q05473
1644	96	Q9NQY0	P25343
1645	96	Q96FZ7	Q04272
1646	96	Q9BSH4	P53212
1647	96	Q9Y253	Q04049
1650	95	Q86TP1	P38698
1651	95	Q96E22	Q12063
1652	95	Q9NYG5	Q12157
1658	94	O43513	Q08278
1659	94	Q96BK5	P53335
1660	94	Q9BRG1	P47142
1661	94	Q96S52	Q04080
1662	94	Q9NQT4	P53256
1666	93	O43156	P36097
1667	93	P61970	P33331
1668	93	Q6FI81	P36152
1669	93	Q96F25	P38242
1670	93	Q9BYD1	Q12487
1675	92	O00623	Q04370
1676	92	Q5JVF3	P47130
1677	92	Q9Y399	P32902
1680	91	P23025	P28519
1681	91	O14530	Q04004
1682	91	P49914	P40099
1683	91	P78318	Q04372
1690	90	P21549	P43567
1691	90	P60002	P36053
1692	90	Q96LU5	P28627
1693	90	Q8TBQ9	Q8TGJ3
1694	90	Q9UK45	P53905
1695	90	Q9Y584	Q12328
1698	89	Q8WWV3	P28625
1699	89	Q7L5D6	Q12125
1700	89	Q96FZ2	Q04471
1707	88	P63272	P32914
1708	88	P62304	Q12330
1709	88	Q96FK6	P53962
1710	88	Q9BYG3	P53927
1715	87	P52657	P32774
1716	87	P39210	Q06563
1717	87	Q15906	Q03388
1718	87	Q5T6J7	Q03786
1725	86	O75381	P53112
1726	86	Q9NQP4	P53900
1728	85	O15212	P52553
1729	85	P62306	P54999
1730	85	Q6UX04	Q02770
1731	85	Q9NUW8	P38319
1732	85	Q9Y3D7	P42949
1735	84	P52434	P20436
1736	84	P61803	P46964
1737	84	P57740	P52891
1738	84	Q9NXG2	P53072
1739	84	Q9Y2V7	P53959
1741	83	O75586	P38782
1742	83	Q9BTM9	P40554
1747	82	P61604	P38910
1748	82	Q96EK6	P43577
1749	82	Q9Y4Y9	P40089
1750	82	Q9Y3C4	Q03705
1754	81	O95249	P38736
1755	81	Q3KRA6	P36154
1756	81	P30049	Q12165
1757	81	P57081	Q03774
1758	81	Q5VZE5	Q02197
1759	81	Q8TCF1	P53899
1760	81	Q9Y256	Q03530
1762	80	Q8N7H5	P38351
1763	80	Q86UA1	Q03776
1764	80	Q9UK97	Q12347
1767	79	A6NK58	Q06005
1768	79	P32780	P32776
1769	79	P61009	Q12133
1770	79	P56937	Q12452
1771	79	Q16635	Q06510
1772	79	Q96DG6	P39721
1773	79	Q9UKR5	P40030
1774	79	Q9HD34	Q6Q560
1778	78	Q99685	P28321
1779	78	Q9BUP3	P40008
1780	78	Q99426	P53904
1781	78	Q96EU6	Q12481
1782	78	Q9UEE9	P38326
1783	78	Q9GZS1	Q01080
1784	78	Q9UHV9	P40005
1787	77	Q16342	P25040
1788	77	P62308	P40204
1789	77	P78330	P42941
1790	77	Q96EK9	P34253
1791	77	Q9Y296	Q03784
1795	76	P20674	P00427
1796	76	O43913	P50874
1797	76	O95568	P40481
1798	76	O43290	Q12420
1799	76	P62314	Q02260
1800	76	Q2VPK5	P53923
1801	76	Q5T440	P47158
1803	75	P12956	P32807
1804	75	O95391	Q02775
1805	75	Q14197	Q12322
1806	75	Q9P1U0	P32529
1807	75	Q9Y5R8	Q03630
1809	74	A0PJX2	Q08952
1810	74	Q06136	P38342
1811	74	P62310	P57743
1812	74	Q53F39	P40986
1813	74	Q12893	Q12239
1814	74	Q5JQF8	Q99181
1815	74	Q8N2U9	Q03687
1816	74	Q9Y5M8	P36057
1818	73	P30039	P38765
1819	73	Q14CX7	Q12387
1820	73	Q8IWL3	P53193
1821	73	Q969E8	Q06672
1822	73	Q9NPE3	Q6Q547
1824	72	O14561	P32463
1825	72	Q5J8M3	P53073
1826	72	Q8N954	Q06152
1827	72	Q9BZD4	P33895
1828	72	Q9BSV6	P39707
1829	72	Q9UHB9	P38687
1830	72	Q9NV56	P53911
1834	71	P14927	P00128
1835	71	Q15369	Q03071
1836	71	Q9BV38	P53877
1837	71	Q9Y248	P40359
1838	71	Q9Y4Z0	P40070
1839	71	Q9Y3D6	P40515
1840	71	Q9NQZ2	Q12136
1841	71	Q9P287	Q06338
1845	70	O95707	P38336
1846	70	O00488	Q08004
1847	70	P62072	P87108
1848	70	Q3MHD2	P38828
1849	70	Q96J01	P53851
1853	69	Q49B96	Q3E731
1854	69	Q9Y5J7	O74700
1855	69	Q9NUM3	Q12067
1857	68	Q14691	Q12488
1858	68	Q53GS7	Q12315
1859	68	Q86U28	Q12425
1860	68	Q96EB1	Q02884
1861	68	Q9Y5K1	P23179
1862	68	Q9H1Y0	Q12380
1868	67	O75208	Q05779
1869	67	Q02127	P28272
1870	67	Q8NHR9	P07274
1871	67	Q86Y79	P38876
1872	67	Q9BYN0	P36077
1873	67	Q9BSH5	Q04223
1874	67	Q9Y3B9	Q06511
1878	66	P10746	P06174
1879	66	P05423	P25441
1880	66	O77932	P53063
1881	66	P60059	P35179
1882	66	Q9H8P0	P40526
1883	66	Q9BRT9	Q03406
1884	66	Q9HD47	P47123
1885	66	Q9UBB9	Q06411
1886	66	Q9Y5L4	P53299
1890	65	Q6ICL3	P53275
1891	65	Q96IV6	P38992
1892	65	Q9H3J6	Q05863
1898	64	P24539	P05626
1899	64	P62312	Q06406
1900	64	Q6RFH5	P53136
1901	64	Q9P0J6	O14464
1902	64	Q96KP1	P89102
1903	64	Q9NRF9	Q04603
1904	64	Q9Y6W3	Q03792
1906	63	O75575	P47076
1907	63	P63173	P49167
1908	63	Q8IYI6	P38261
1909	63	Q9BVC3	P25559
1912	62	A4D1U4	P36090
1913	62	O15431	P38865
1914	62	Q15543	P11747
1915	62	P60602	Q02889
1916	62	Q9NWV4	P25654
1917	62	Q9BV23	P53750
1918	62	Q96EY9	Q9URQ3
1922	61	P29084	P36145
1923	61	Q53S33	P39724
1924	61	Q07326	Q06636
1925	61	Q9H2W6	P36528
1926	61	Q9BRQ8	P52923
1927	61	Q9BTT4	Q06213
1928	61	Q9Y5R4	P53944
1931	60	Q9UI14	P53633
1932	60	Q9Y5U9	Q3E834
1936	59	O14737	Q04773
1937	59	Q8N5M1	P22135
1938	59	Q9NUD9	P38211
1939	59	Q9Y3D3	Q02608
1943	58	O75347	P48606
1944	58	Q86V81	Q12159
1945	58	Q9NRX2	P22353
1949	57	O43715	O60200
1950	57	P30044	P38013
1951	57	Q5BJF2	Q12155
1952	57	Q9Y312	P32357
1953	57	Q96NC0	Q12368
1954	57	Q9NRP4	Q04401
1957	56	P10606	P04037
1958	56	P53803	P40422
1959	56	Q6GMV2	P38890
1960	56	Q9BRJ6	P25617
1961	56	Q8WV22	Q07913
1962	56	Q9BYD3	P51998
1963	56	Q9H3K6	P53082
1964	56	Q9BRX5	Q12146
1967	55	P22234	P27616
1968	55	Q14894	P53110
1969	55	P84101	Q3E7B7
1971	54	O75947	P30902
1972	54	P56589	P28795
1973	54	Q6PI98	P32617
1974	54	Q6UW68	Q06089
1975	54	Q9NX07	P40561
1976	54	Q9Y3E2	Q3E793
1980	53	O95777	P47093
1981	53	Q14061	Q12287
1982	53	Q9H173	Q08199
1987	52	P28328	P32800
1988	52	Q7Z6J8	P47172
1989	52	Q5TGZ0	Q96VH5
1990	52	Q92535	P46961
1991	52	Q9Y3B4	P40565
1992	52	Q9NPA8	Q6WNK7
1993	52	Q9UQ10	Q04869
1998	50	Q16540	P32387
1999	50	Q9NWU2	P40208
2000	49	O14579	P40509
2001	49	A6NK06	Q12428
2002	49	Q15493	P38235
2003	49	Q6ZNG9	O13329
2004	49	Q6P3W2	P47138
2005	49	Q9BRS8	P33399
2006	49	Q9GZZ1	Q08689
2010	48	P56277	Q3E7A9
2011	48	Q9H9J2	P36516
2015	47	O60783	P10663
2016	47	Q9UDW1	P22289
2017	47	Q9NP79	Q06263
2018	47	Q9NYJ1	Q05809
2019	46	Q15006	P47133
2020	46	Q9Y244	P38293
2022	45	O00244	P38636
2023	45	P57088	Q12164
2024	45	Q53FT3	Q08202
2025	45	Q6ZYL4	Q3E7C1
2028	44	P82932	P28778
2029	44	Q86W74	P25631
2030	44	Q8N2Z9	Q3E835
2032	43	P57054	Q04082
2033	43	Q16613	Q12447
2034	43	Q8N983	Q06090
2035	43	Q9NZ43	P53146
2038	42	Q9BYC8	P25348
2039	42	Q8WV07	P53846
2041	41	Q969H6	P28005
