"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"IBA57" "OTHER" "1" "IBA57" "S. cerevisiae" "Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins" "1494" "YJR122W" "S000003883" "ORF"
"COQ9" "OTHER" "1" "COQ9" "S. cerevisiae" "COenzyme Q" "783" "YLR201C" "S000004191" "ORF"
"HEM14" "OTHER" "1" "HEM14" "S. cerevisiae" "HEMe biosynthesis" "1620" "YER014W" "S000000816" "ORF"
"VMA8" "OTHER" "1" "VMA8" "S. cerevisiae" "Vacuolar Membrane Atpase" "771" "YEL051W" "S000000777" "ORF"
"RIM20" "OTHER" "1" "RIM20" "S. cerevisiae" "Regulator of IME2" "1986" "YOR275C" "S000005801" "ORF"
"PTH2" "OTHER" "1" "PTH2" "S. cerevisiae" "Peptidyl-Trna Hydrolase" "627" "YBL057C" "S000000153" "ORF"
"ADE5,7" "OTHER" "1" "ADE5,7" "S. cerevisiae" "ADEnine requiring" "2409" "YGL234W" "S000003203" "ORF"
"HSV2" "OTHER" "1" "HSV2" "S. cerevisiae" "Homologous with SVP1" "1347" "YGR223C" "S000003455" "ORF"
"SUV3" "OTHER" "1" "SUV3" "S. cerevisiae" "SUppressor of Var1" "2214" "YPL029W" "S000005950" "ORF"
"VPS60" "OTHER" "1" "VPS60" "S. cerevisiae" "Vacuolar Protein Sorting" "690" "YDR486C" "S000002894" "ORF"
"ETR1" "OTHER" "1" "ETR1" "S. cerevisiae" "2-Enoyl Thioester Reductase" "1143" "YBR026C" "S000000230" "ORF"
"HSL7" "OTHER" "1" "HSL7" "S. cerevisiae" "Histone Synthetic Lethal" "2484" "YBR133C" "S000000337" "ORF"
"COX6" "OTHER" "1" "COX6" "S. cerevisiae" "Cytochrome c OXidase" "447" "YHR051W" "S000001093" "ORF"
"ADE5,7" "OTHER" "1" "ADE5,7" "S. cerevisiae" "ADEnine requiring" "2409" "YGL234W" "S000003203" "ORF"
"VPS60" "OTHER" "1" "VPS60" "S. cerevisiae" "Vacuolar Protein Sorting" "690" "YDR486C" "S000002894" "ORF"
"CDC40" "OTHER" "1" "CDC40" "S. cerevisiae" "Cell Division Cycle" "1368" "YDR364C" "S000002772" "ORF"
"ERG2" "OTHER" "1" "ERG2" "S. cerevisiae" "ERGosterol biosynthesis" "669" "YMR202W" "S000004815" "ORF"
"LPD1" "OTHER" "1" "LPD1" "S. cerevisiae" "LiPoamide Dehydrogenase" "1500" "YFL018C" "S000001876" "ORF"
"BNA1" "OTHER" "1" "BNA1" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "534" "YJR025C" "S000003786" "ORF"
"DOA1" "OTHER" "1" "DOA1" "S. cerevisiae" "Degradation Of Alpha" "2148" "YKL213C" "S000001696" "ORF"
"CYS4" "OTHER" "1" "CYS4" "S. cerevisiae" "CYStathionine beta-synthase" "1524" "YGR155W" "S000003387" "ORF"
"SER1" "OTHER" "1" "SER1" "S. cerevisiae" "SERine requiring" "1188" "YOR184W" "S000005710" "ORF"
"NFU1" "OTHER" "1" "NFU1" "S. cerevisiae" "NifU-like protein" "771" "YKL040C" "S000001523" "ORF"
"VPS53" "OTHER" "1" "VPS53" "S. cerevisiae" "Vacuolar Protein Sorting" "2469" "YJL029C" "S000003566" "ORF"
"RAD51" "OTHER" "1" "RAD51" "S. cerevisiae" "RADiation sensitive" "1203" "YER095W" "S000000897" "ORF"
"MSH2" "OTHER" "1" "MSH2" "S. cerevisiae" "MutS Homolog" "2895" "YOL090W" "S000005450" "ORF"
"PEX13" "OTHER" "1" "PEX13" "S. cerevisiae" "PEroXin" "1161" "YLR191W" "S000004181" "ORF"
"GAL7" "OTHER" "1" "GAL7" "S. cerevisiae" "GALactose metabolism" "1101" "YBR018C" "S000000222" "ORF"
"MRPL9" "OTHER" "1" "MRPL9" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "810" "YGR220C" "S000003452" "ORF"
"LEO1" "OTHER" "1" "LEO1" "S. cerevisiae" "LEft Open reading frame" "1395" "YOR123C" "S000005649" "ORF"
"PET112" "OTHER" "1" "PET112" "S. cerevisiae" "PETite colonies" "1626" "YBL080C" "S000000176" "ORF"
"PET112" "OTHER" "1" "PET112" "S. cerevisiae" "PETite colonies" "1626" "YBL080C" "S000000176" "ORF"
"BUD16" "OTHER" "1" "BUD16" "S. cerevisiae" "BUD site selection" "939" "YEL029C" "S000000755" "ORF"
"DPL1" "OTHER" "1" "DPL1" "S. cerevisiae" "Dihydrosphingosine Phosphate Lyase" "1770" "YDR294C" "S000002702" "ORF"
"TMA20" "OTHER" "1" "TMA20" "S. cerevisiae" "Translation Machinery Associated" "649" "YER007C-A" "S000002957" "ORF"
"SER1" "OTHER" "1" "SER1" "S. cerevisiae" "SERine requiring" "1188" "YOR184W" "S000005710" "ORF"
"CYS4" "OTHER" "1" "CYS4" "S. cerevisiae" "CYStathionine beta-synthase" "1524" "YGR155W" "S000003387" "ORF"
"RTF1" "OTHER" "1" "RTF1" "S. cerevisiae" "Restores TBP Function" "1677" "YGL244W" "S000003213" "ORF"
"RIM20" "OTHER" "1" "RIM20" "S. cerevisiae" "Regulator of IME2" "1986" "YOR275C" "S000005801" "ORF"
"SUV3" "OTHER" "1" "SUV3" "S. cerevisiae" "SUppressor of Var1" "2214" "YPL029W" "S000005950" "ORF"
"GCN2" "OTHER" "1" "GCN2" "S. cerevisiae" "General Control Nonderepressible" "4980" "YDR283C" "S000002691" "ORF"
"IBA57" "OTHER" "1" "IBA57" "S. cerevisiae" "Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins" "1494" "YJR122W" "S000003883" "ORF"
"GUA1" "OTHER" "1" "GUA1" "S. cerevisiae" "GUanine Auxotroph" "1578" "YMR217W" "S000004830" "ORF"
"PIF1" "OTHER" "1" "PIF1" "S. cerevisiae" "Petite Integration Frequency" "2580" "YML061C" "S000004526" "ORF"
"COX17" "OTHER" "1" "COX17" "S. cerevisiae" "Cytochrome c OXidase" "210" "YLL009C" "S000003932" "ORF"
"QCR9" "OTHER" "1" "QCR9" "S. cerevisiae" "ubiQuinol-cytochrome C oxidoReductase" "414" "YGR183C" "S000003415" "ORF"
"FUM1" "OTHER" "1" "FUM1" "S. cerevisiae" "FUMarase" "1467" "YPL262W" "S000006183" "ORF"
"VPS16" "OTHER" "1" "VPS16" "S. cerevisiae" "Vacuolar Protein Sorting" "2397" "YPL045W" "S000005966" "ORF"
"VPS20" "OTHER" "1" "VPS20" "S. cerevisiae" "Vacuolar Protein Sorting" "666" "YMR077C" "S000004682" "ORF"
"VMA7" "OTHER" "1" "VMA7" "S. cerevisiae" "Vacuolar Membrane Atpase" "357" "YGR020C" "S000003252" "ORF"
"CYS3" "OTHER" "1" "CYS3" "S. cerevisiae" "CYStathionine gamma-lyase" "1185" "YAL012W" "S000000010" "ORF"
"ARG3" "OTHER" "1" "ARG3" "S. cerevisiae" "ARGinine requiring" "1017" "YJL088W" "S000003624" "ORF"
"HEM12" "OTHER" "1" "HEM12" "S. cerevisiae" "HEMe biosynthesis" "1089" "YDR047W" "S000002454" "ORF"
"ASC1" "OTHER" "1" "ASC1" "S. cerevisiae" "Absence of growth Suppressor of Cyp1" "1233" "YMR116C" "S000004722" "ORF"
"RRD1" "OTHER" "1" "RRD1" "S. cerevisiae" "Resistant to Rapamycin Deletion" "1182" "YIL153W" "S000001415" "ORF"
"MET13" "OTHER" "1" "MET13" "S. cerevisiae" "METhionine requiring" "1803" "YGL125W" "S000003093" "ORF"
"ADA2" "OTHER" "1" "ADA2" "S. cerevisiae" "transcriptional ADAptor" "1305" "YDR448W" "S000002856" "ORF"
"VMS1" "OTHER" "1" "VMS1" "S. cerevisiae" "VCP/Cdc48-associated Mitochondrial Stress-responsive" "1899" "YDR049W" "S000002456" "ORF"
"PEX14" "OTHER" "1" "PEX14" "S. cerevisiae" "PEroXisome related" "1026" "YGL153W" "S000003121" "ORF"
"MDM35" "OTHER" "1" "MDM35" "S. cerevisiae" "Mitochondrial Distribution and Morphology" "261" "YKL053C-A" "S000007243" "ORF"
"SER2" "OTHER" "1" "SER2" "S. cerevisiae" "SERine requiring" "930" "YGR208W" "S000003440" "ORF"
"VMA7" "OTHER" "1" "VMA7" "S. cerevisiae" "Vacuolar Membrane Atpase" "357" "YGR020C" "S000003252" "ORF"
"VPS15" "OTHER" "1" "VPS15" "S. cerevisiae" "Vacuolar Protein Sorting" "4365" "YBR097W" "S000000301" "ORF"
"UBP15" "OTHER" "1" "UBP15" "S. cerevisiae" "UBiquitin-specific Protease" "3693" "YMR304W" "S000004920" "ORF"
"UBP6" "OTHER" "1" "UBP6" "S. cerevisiae" "UBiquitin-specific Protease" "1500" "YFR010W" "S000001906" "ORF"
"ELP2" "OTHER" "1" "ELP2" "S. cerevisiae" "ELongator Protein" "2367" "YGR200C" "S000003432" "ORF"
"PIK1" "OTHER" "1" "PIK1" "S. cerevisiae" "Phosphatidyl Inositol Kinase" "3201" "YNL267W" "S000005211" "ORF"
"SGS1" "OTHER" "1" "SGS1" "S. cerevisiae" "Slow Growth Suppressor" "4344" "YMR190C" "S000004802" "ORF"
"MSW1" "OTHER" "1" "MSW1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)" "1140" "YDR268W" "S000002676" "ORF"
"ATP1" "OTHER" "1" "ATP1" "S. cerevisiae" "ATP synthase" "1638" "YBL099W" "S000000195" "ORF"
"UFD2" "OTHER" "1" "UFD2" "S. cerevisiae" "Ubiquitin Fusion Degradation" "2886" "YDL190C" "S000002349" "ORF"
"YKE2" "OTHER" "1" "YKE2" "S. cerevisiae" "Yeast ortholog of mouse KE2" "345" "YLR200W" "S000004190" "ORF"
"XKS1" "OTHER" "1" "XKS1" "S. cerevisiae" "XyluloKinaSe" "1803" "YGR194C" "S000003426" "ORF"
"PIF1" "OTHER" "1" "PIF1" "S. cerevisiae" "Petite Integration Frequency" "2580" "YML061C" "S000004526" "ORF"
"INO80" "OTHER" "1" "INO80" "S. cerevisiae" "INOsitol requiring" "4470" "YGL150C" "S000003118" "ORF"
"PAF1" "OTHER" "1" "PAF1" "S. cerevisiae" "RNA Polymerase II Associated Factor" "1338" "YBR279W" "S000000483" "ORF"
"YME1" "OTHER" "1" "YME1" "S. cerevisiae" "Yeast Mitochondrial Escape" "2244" "YPR024W" "S000006228" "ORF"
"GCN3" "OTHER" "1" "GCN3" "S. cerevisiae" "General Control Nonderepressible" "918" "YKR026C" "S000001734" "ORF"
"UBA4" "OTHER" "1" "UBA4" "S. cerevisiae" "UBiquitin-Activating" "1323" "YHR111W" "S000001153" "ORF"
"TOP3" "OTHER" "1" "TOP3" "S. cerevisiae" "TOPoisomerase" "1971" "YLR234W" "S000004224" "ORF"
"SPS19" "OTHER" "1" "SPS19" "S. cerevisiae" "SPorulation-Specific" "879" "YNL202W" "S000005146" "ORF"
"STT4" "OTHER" "1" "STT4" "S. cerevisiae" "STaurosporine and Temperature sensitive" "5703" "YLR305C" "S000004296" "ORF"
"SDH2" "OTHER" "1" "SDH2" "S. cerevisiae" "Succinate DeHydrogenase" "801" "YLL041C" "S000003964" "ORF"
"GUA1" "OTHER" "1" "GUA1" "S. cerevisiae" "GUanine Auxotroph" "1578" "YMR217W" "S000004830" "ORF"
"COQ5" "OTHER" "1" "COQ5" "S. cerevisiae" "COenzyme Q" "924" "YML110C" "S000004578" "ORF"
"DOC1" "OTHER" "1" "DOC1" "S. cerevisiae" "Destruction Of Cyclin B" "753" "YGL240W" "S000003209" "ORF"
"RKR1" "OTHER" "1" "RKR1" "S. cerevisiae" "RING domain mutant Killed by Rtf1 deletion" "4689" "YMR247C" "S000004861" "ORF"
"AIP1" "OTHER" "1" "AIP1" "S. cerevisiae" "Actin Interacting Protein" "1848" "YMR092C" "S000004698" "ORF"
"ELP4" "OTHER" "1" "ELP4" "S. cerevisiae" "ELongator Protein" "1371" "YPL101W" "S000006022" "ORF"
"LSM1" "OTHER" "1" "LSM1" "S. cerevisiae" "Like SM" "519" "YJL124C" "S000003660" "ORF"
"SOD1" "OTHER" "1" "SOD1" "S. cerevisiae" "SuperOxide Dismutase" "465" "YJR104C" "S000003865" "ORF"
"MRPL8" "OTHER" "1" "MRPL8" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "717" "YJL063C" "S000003599" "ORF"
"SPE3" "OTHER" "1" "SPE3" "S. cerevisiae" "SPErmidine auxotroph" "882" "YPR069C" "S000006273" "ORF"
"SOD2" "OTHER" "1" "SOD2" "S. cerevisiae" "SuperOxide Dismutase" "702" "YHR008C" "S000001050" "ORF"
"MSN5" "OTHER" "1" "MSN5" "S. cerevisiae" "Multicopy suppressor of SNf1 mutation" "3675" "YDR335W" "S000002743" "ORF"
"MAF1" "OTHER" "1" "MAF1" "S. cerevisiae" "" "1268" "YDR005C" "S000002412" "ORF"
"BUD32" "OTHER" "1" "BUD32" "S. cerevisiae" "BUD site selection" "786" "YGR262C" "S000003494" "ORF"
"TRM10" "OTHER" "1" "TRM10" "S. cerevisiae" "Transfer RNA Methyltransferase" "882" "YOL093W" "S000005453" "ORF"
"BNA6" "OTHER" "1" "BNA6" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "888" "YFR047C" "S000001943" "ORF"
"LCB5" "OTHER" "1" "LCB5" "S. cerevisiae" "Long-Chain Base" "2064" "YLR260W" "S000004250" "ORF"
"URA1" "OTHER" "1" "URA1" "S. cerevisiae" "URAcil requiring" "945" "YKL216W" "S000001699" "ORF"
"ATP5" "OTHER" "1" "ATP5" "S. cerevisiae" "ATP synthase" "639" "YDR298C" "S000002706" "ORF"
"GIM5" "OTHER" "1" "GIM5" "S. cerevisiae" "Gene Involved in Microtubule biogenesis" "575" "YML094W" "S000004559" "ORF"
"INO1" "OTHER" "1" "INO1" "S. cerevisiae" "INOsitol requiring" "1602" "YJL153C" "S000003689" "ORF"
"MDH1" "OTHER" "1" "MDH1" "S. cerevisiae" "Malate DeHydrogenase" "1005" "YKL085W" "S000001568" "ORF"
"SCS7" "OTHER" "1" "SCS7" "S. cerevisiae" "Suppressor of Ca2+ Sensitivity" "1155" "YMR272C" "S000004885" "ORF"
"RML2" "OTHER" "1" "RML2" "S. cerevisiae" "Ribosomal Mitochondrial Large" "1182" "YEL050C" "S000000776" "ORF"
"COX1" "OTHER" "1" "COX1" "S. cerevisiae" "Cytochrome c OXidase" "12884" "Q0045" "S000007260" "ORF"
"SEC22" "OTHER" "1" "SEC22" "S. cerevisiae" "SECretory" "645" "YLR268W" "S000004258" "ORF"
"VMA8" "OTHER" "1" "VMA8" "S. cerevisiae" "Vacuolar Membrane Atpase" "771" "YEL051W" "S000000777" "ORF"
"THR4" "OTHER" "1" "THR4" "S. cerevisiae" "THReonine requiring" "1545" "YCR053W" "S000000649" "ORF"
"BNA5" "OTHER" "1" "BNA5" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "1362" "YLR231C" "S000004221" "ORF"
"MOT2" "OTHER" "1" "MOT2" "S. cerevisiae" "Modulator Of Transcription" "1764" "YER068W" "S000000870" "ORF"
"VMA3" "OTHER" "1" "VMA3" "S. cerevisiae" "Vacuolar Membrane Atpase" "483" "YEL027W" "S000000753" "ORF"
"ETR1" "OTHER" "1" "ETR1" "S. cerevisiae" "2-Enoyl Thioester Reductase" "1143" "YBR026C" "S000000230" "ORF"
"MRPL19" "OTHER" "1" "MRPL19" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "477" "YNL185C" "S000005129" "ORF"
"SAC1" "OTHER" "1" "SAC1" "S. cerevisiae" "Suppressor of ACtin" "1872" "YKL212W" "S000001695" "ORF"
"MRPL51" "OTHER" "1" "MRPL51" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "423" "YPR100W" "S000006304" "ORF"
"MRPL23" "OTHER" "1" "MRPL23" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "492" "YOR150W" "S000005676" "ORF"
"HEM14" "OTHER" "1" "HEM14" "S. cerevisiae" "HEMe biosynthesis" "1620" "YER014W" "S000000816" "ORF"
"ADE1" "OTHER" "1" "ADE1" "S. cerevisiae" "ADEnine requiring" "921" "YAR015W" "S000000070" "ORF"
"ARG1" "OTHER" "1" "ARG1" "S. cerevisiae" "ARGinine requiring" "1263" "YOL058W" "S000005419" "ORF"
"PPM1" "OTHER" "1" "PPM1" "S. cerevisiae" "Protein Phosphatase Methyltransferase" "987" "YDR435C" "S000002843" "ORF"
"ARG4" "OTHER" "1" "ARG4" "S. cerevisiae" "ARGinine requiring" "1392" "YHR018C" "S000001060" "ORF"
"UBA3" "OTHER" "1" "UBA3" "S. cerevisiae" "UBiquitin-like protein-Activating enzyme" "900" "YPR066W" "S000006270" "ORF"
"ATP4" "OTHER" "1" "ATP4" "S. cerevisiae" "ATP synthase" "735" "YPL078C" "S000005999" "ORF"
"CYT1" "OTHER" "1" "CYT1" "S. cerevisiae" "CYTochrome c1" "930" "YOR065W" "S000005591" "ORF"
"SEC22" "OTHER" "1" "SEC22" "S. cerevisiae" "SECretory" "645" "YLR268W" "S000004258" "ORF"
"ATP5" "OTHER" "1" "ATP5" "S. cerevisiae" "ATP synthase" "639" "YDR298C" "S000002706" "ORF"
"STP22" "OTHER" "1" "STP22" "S. cerevisiae" "STerile Pseudoreversion" "1158" "YCL008C" "S000000514" "ORF"
"URA1" "OTHER" "1" "URA1" "S. cerevisiae" "URAcil requiring" "945" "YKL216W" "S000001699" "ORF"
"UBI4" "OTHER" "1" "UBI4" "S. cerevisiae" "Ubiquitin" "1146" "YLL039C" "S000003962" "ORF"
"ATP3" "OTHER" "1" "ATP3" "S. cerevisiae" "ATP synthase" "936" "YBR039W" "S000000243" "ORF"
"IFM1" "OTHER" "1" "IFM1" "S. cerevisiae" "Initiation Factor of Mitochondria" "2031" "YOL023W" "S000005383" "ORF"
"BUD20" "OTHER" "1" "BUD20" "S. cerevisiae" "BUD site selection" "501" "YLR074C" "S000004064" "ORF"
"SPS19" "OTHER" "1" "SPS19" "S. cerevisiae" "SPorulation-Specific" "879" "YNL202W" "S000005146" "ORF"
"MRPS16" "OTHER" "1" "MRPS16" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Small subunit" "366" "YPL013C" "S000005934" "ORF"
"SPE2" "OTHER" "1" "SPE2" "S. cerevisiae" "SPErmidine auxotroph" "1191" "YOL052C" "S000005412" "ORF"
"DID4" "OTHER" "1" "DID4" "S. cerevisiae" "Doa4-Independent Degradation" "767" "YKL002W" "S000001485" "ORF"
"MRPL32" "OTHER" "1" "MRPL32" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "552" "YCR003W" "S000000596" "ORF"
"RTC6" "OTHER" "1" "RTC6" "S. cerevisiae" "Restriction of Telomere Capping" "282" "YPL183W-A" "S000007224" "ORF"
"UPS1" "OTHER" "1" "UPS1" "S. cerevisiae" "UnProceSsed" "528" "YLR193C" "S000004183" "ORF"
"SOD1" "OTHER" "1" "SOD1" "S. cerevisiae" "SuperOxide Dismutase" "465" "YJR104C" "S000003865" "ORF"
"STT4" "OTHER" "1" "STT4" "S. cerevisiae" "STaurosporine and Temperature sensitive" "5703" "YLR305C" "S000004296" "ORF"
"MDM38" "OTHER" "1" "MDM38" "S. cerevisiae" "Mitochondrial Distribution and Morphology" "1722" "YOL027C" "S000005387" "ORF"
"ARG5,6" "OTHER" "1" "ARG5,6" "S. cerevisiae" "ARGinine requiring" "2592" "YER069W" "S000000871" "ORF"
"VPS28" "OTHER" "1" "VPS28" "S. cerevisiae" "Vacuolar Protein Sorting" "729" "YPL065W" "S000005986" "ORF"
"PEP3" "OTHER" "1" "PEP3" "S. cerevisiae" "carboxyPEPtidase Y-deficient" "2757" "YLR148W" "S000004138" "ORF"
"IKI3" "OTHER" "1" "IKI3" "S. cerevisiae" "Insensitive to KIller toxin" "4050" "YLR384C" "S000004376" "ORF"
"MRP2" "OTHER" "1" "MRP2" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "348" "YPR166C" "S000006370" "ORF"
"SPT4" "OTHER" "1" "SPT4" "S. cerevisiae" "SuPpressor of Ty's" "309" "YGR063C" "S000003295" "ORF"
"IDH2" "OTHER" "1" "IDH2" "S. cerevisiae" "Isocitrate DeHydrogenase" "1110" "YOR136W" "S000005662" "ORF"
"ATP7" "OTHER" "1" "ATP7" "S. cerevisiae" "ATP synthase" "525" "YKL016C" "S000001499" "ORF"
"MRPL17" "OTHER" "1" "MRPL17" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "846" "YNL252C" "S000005196" "ORF"
"ZWF1" "OTHER" "1" "ZWF1" "S. cerevisiae" "ZWischenFerment" "1518" "YNL241C" "S000005185" "ORF"
"BNA4" "OTHER" "1" "BNA4" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "1383" "YBL098W" "S000000194" "ORF"
"ADE1" "OTHER" "1" "ADE1" "S. cerevisiae" "ADEnine requiring" "921" "YAR015W" "S000000070" "ORF"
"MRPS12" "OTHER" "1" "MRPS12" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Small subunit" "462" "YNR036C" "S000005319" "ORF"
"ATP7" "OTHER" "1" "ATP7" "S. cerevisiae" "ATP synthase" "525" "YKL016C" "S000001499" "ORF"
"IDH2" "OTHER" "1" "IDH2" "S. cerevisiae" "Isocitrate DeHydrogenase" "1110" "YOR136W" "S000005662" "ORF"
"PPM1" "OTHER" "1" "PPM1" "S. cerevisiae" "Protein Phosphatase Methyltransferase" "987" "YDR435C" "S000002843" "ORF"
"MOT2" "OTHER" "1" "MOT2" "S. cerevisiae" "Modulator Of Transcription" "1764" "YER068W" "S000000870" "ORF"
"SWD1" "OTHER" "1" "SWD1" "S. cerevisiae" "Set1c, WD40 repeat protein" "1281" "YAR003W" "S000000064" "ORF"
"ADA2" "OTHER" "1" "ADA2" "S. cerevisiae" "transcriptional ADAptor" "1305" "YDR448W" "S000002856" "ORF"
"PDB1" "OTHER" "1" "PDB1" "S. cerevisiae" "Pyruvate Dehydrogenase Beta subunit" "1101" "YBR221C" "S000000425" "ORF"
"PEX3" "OTHER" "1" "PEX3" "S. cerevisiae" "PEroXin" "1326" "YDR329C" "S000002737" "ORF"
"MRPS16" "OTHER" "1" "MRPS16" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Small subunit" "366" "YPL013C" "S000005934" "ORF"
"DID4" "OTHER" "1" "DID4" "S. cerevisiae" "Doa4-Independent Degradation" "767" "YKL002W" "S000001485" "ORF"
"PIK1" "OTHER" "1" "PIK1" "S. cerevisiae" "Phosphatidyl Inositol Kinase" "3201" "YNL267W" "S000005211" "ORF"
"ATP3" "OTHER" "1" "ATP3" "S. cerevisiae" "ATP synthase" "936" "YBR039W" "S000000243" "ORF"
"BUD23" "OTHER" "1" "BUD23" "S. cerevisiae" "BUD site selection" "828" "YCR047C" "S000000643" "ORF"
"GRX5" "OTHER" "1" "GRX5" "S. cerevisiae" "GlutaRedoXin" "453" "YPL059W" "S000005980" "ORF"
"UBP6" "OTHER" "1" "UBP6" "S. cerevisiae" "UBiquitin-specific Protease" "1500" "YFR010W" "S000001906" "ORF"
"VMS1" "OTHER" "1" "VMS1" "S. cerevisiae" "VCP/Cdc48-associated Mitochondrial Stress-responsive" "1899" "YDR049W" "S000002456" "ORF"
"ASC1" "OTHER" "1" "ASC1" "S. cerevisiae" "Absence of growth Suppressor of Cyp1" "1233" "YMR116C" "S000004722" "ORF"
"HEM12" "OTHER" "1" "HEM12" "S. cerevisiae" "HEMe biosynthesis" "1089" "YDR047W" "S000002454" "ORF"
"ARG3" "OTHER" "1" "ARG3" "S. cerevisiae" "ARGinine requiring" "1017" "YJL088W" "S000003624" "ORF"
"GSH1" "OTHER" "1" "GSH1" "S. cerevisiae" "glutathione (GSH)" "2037" "YJL101C" "S000003637" "ORF"
"ATG5" "OTHER" "1" "ATG5" "S. cerevisiae" "AuTophaGy related" "885" "YPL149W" "S000006070" "ORF"
"BUD20" "OTHER" "1" "BUD20" "S. cerevisiae" "BUD site selection" "501" "YLR074C" "S000004064" "ORF"
"MRPL32" "OTHER" "1" "MRPL32" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "552" "YCR003W" "S000000596" "ORF"
"SWD1" "OTHER" "1" "SWD1" "S. cerevisiae" "Set1c, WD40 repeat protein" "1281" "YAR003W" "S000000064" "ORF"
"UBA4" "OTHER" "1" "UBA4" "S. cerevisiae" "UBiquitin-Activating" "1323" "YHR111W" "S000001153" "ORF"
"GCN3" "OTHER" "1" "GCN3" "S. cerevisiae" "General Control Nonderepressible" "918" "YKR026C" "S000001734" "ORF"
"MIP1" "OTHER" "1" "MIP1" "S. cerevisiae" "MItochondrial DNA Polymerase" "3765" "YOR330C" "S000005857" "ORF"
"UFD2" "OTHER" "1" "UFD2" "S. cerevisiae" "Ubiquitin Fusion Degradation" "2886" "YDL190C" "S000002349" "ORF"
"PAF1" "OTHER" "1" "PAF1" "S. cerevisiae" "RNA Polymerase II Associated Factor" "1338" "YBR279W" "S000000483" "ORF"
"VPS34" "OTHER" "1" "VPS34" "S. cerevisiae" "Vacuolar Protein Sorting" "2628" "YLR240W" "S000004230" "ORF"
"SPE2" "OTHER" "1" "SPE2" "S. cerevisiae" "SPErmidine auxotroph" "1191" "YOL052C" "S000005412" "ORF"
"VPS34" "OTHER" "1" "VPS34" "S. cerevisiae" "Vacuolar Protein Sorting" "2628" "YLR240W" "S000004230" "ORF"
"RPE1" "OTHER" "1" "RPE1" "S. cerevisiae" "Ribulose 5-Phosphate Epimerase" "717" "YJL121C" "S000003657" "ORF"
"BNA4" "OTHER" "1" "BNA4" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "1383" "YBL098W" "S000000194" "ORF"
"ICP55" "OTHER" "1" "ICP55" "S. cerevisiae" "Intermediate Cleaving Peptidase" "1536" "YER078C" "S000000880" "ORF"
"IKI3" "OTHER" "1" "IKI3" "S. cerevisiae" "Insensitive to KIller toxin" "4050" "YLR384C" "S000004376" "ORF"
"MDM38" "OTHER" "1" "MDM38" "S. cerevisiae" "Mitochondrial Distribution and Morphology" "1722" "YOL027C" "S000005387" "ORF"
"MRPL8" "OTHER" "1" "MRPL8" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "717" "YJL063C" "S000003599" "ORF"
"RPE1" "OTHER" "1" "RPE1" "S. cerevisiae" "Ribulose 5-Phosphate Epimerase" "717" "YJL121C" "S000003657" "ORF"
"SPT4" "OTHER" "1" "SPT4" "S. cerevisiae" "SuPpressor of Ty's" "309" "YGR063C" "S000003295" "ORF"
"AIP1" "OTHER" "1" "AIP1" "S. cerevisiae" "Actin Interacting Protein" "1848" "YMR092C" "S000004698" "ORF"
"MRPL17" "OTHER" "1" "MRPL17" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "846" "YNL252C" "S000005196" "ORF"
"PEX7" "OTHER" "1" "PEX7" "S. cerevisiae" "PEroXin" "1128" "YDR142C" "S000002549" "ORF"
"ZWF1" "OTHER" "1" "ZWF1" "S. cerevisiae" "ZWischenFerment" "1518" "YNL241C" "S000005185" "ORF"
"VPS28" "OTHER" "1" "VPS28" "S. cerevisiae" "Vacuolar Protein Sorting" "729" "YPL065W" "S000005986" "ORF"
"HSL7" "OTHER" "1" "HSL7" "S. cerevisiae" "Histone Synthetic Lethal" "2484" "YBR133C" "S000000337" "ORF"
"MSW1" "OTHER" "1" "MSW1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)" "1140" "YDR268W" "S000002676" "ORF"
