cluster	protein1	protein2	overall_score	total_align_length	total_gap_length	total_perfect_align	total_nonperfect_align	n_gaps
367	Q9BZG8	P40487	0.487745098039	400	68	199	201	8
972	P20042	P09064	0.433566433566	276	66	124	152	10
1525	O14746	Q06163	0.217342342342	855	306	193	662	33
234	Q13823	P53742	0.52489626556	476	265	253	223	6
939	Q9Y6N1	P19516	0.446640316206	248	80	113	135	5
346	P49591	P07284	0.483660130719	448	80	222	226	11
138	Q9NVP1	Q03532	0.590998043053	504	167	302	202	7
399	P04818	P06785	0.619528619529	293	31	184	109	4
1552	Q9NXR8	P50947	0.279279279279	320	108	93	227	13
1541	P00813	P53909	0.242774566474	334	42	84	250	12
1023	O15258	P25560	0.436842105263	188	8	83	105	2
301	Q9Y5P6	P41940	0.578947368421	360	1	209	151	1
2029	Q86W74	P25631	0.265	189	76	53	136	11
1036	Q6NVY1	P28817	0.33164556962	379	128	131	248	16
1315	Q9HAV4	P52918	0.196443691787	1130	168	232	898	51
792	Q9H7B2	P36160	0.438311688312	303	44	135	168	5
658	P28066	P32379	0.606557377049	241	19	148	93	3
1398	P41214	Q04600	0.249554367201	535	79	140	395	26
454	P63244	P38011	0.531446540881	313	10	169	144	5
1121	Q9H269	Q03308	0.221216041397	744	149	171	573	29
103	Q14566	P53091	0.448979591837	818	202	374	444	15
139	Q92698	P32863	0.465679676985	725	195	346	379	18
17	P41252	P09436	0.531598513011	1067	200	572	495	9
1037	Q9BV79	P38071	0.354107648725	341	71	125	216	12
1847	P62072	P87108	0.317647058824	82	19	27	55	3
1362	Q6UWH6	P38869	0.381443298969	189	46	74	115	5
530	O00267	P27692	0.269271383316	905	340	255	650	42
1951	Q5BJF2	Q12155	0.294871794872	149	39	46	103	7
427	O15213	P40055	0.392923649907	522	120	211	311	15
284	Q9Y285	P15625	0.479125248509	494	23	241	253	9
1250	Q9NRA0	Q12246	0.234676007005	550	178	134	416	21
1009	Q9NX74	P53720	0.35261707989	350	177	128	222	13
605	Q6P1R4	P53759	0.419023136247	378	140	163	215	11
843	P19387	P16370	0.447272727273	269	55	123	146	6
1404	P24666	P40347	0.4	156	7	64	92	4
100	Q99460	P32565	0.43825136612	899	100	401	498	16
727	Q7Z569	P38748	0.324427480916	508	161	170	338	16
198	P62333	P53549	0.671794871795	389	48	262	127	1
1214	Q92541	P53064	0.246350364964	525	218	135	390	23
1953	Q96NC0	Q12368	0.206349206349	180	33	39	141	9
963	Q9NV31	P32899	0.524324324324	182	3	97	85	3
107	P22102	P07244	0.446406052963	783	246	354	429	10
1308	Q8N6T3	P35197	0.290625	308	142	93	215	12
1760	Q9Y256	Q03530	0.278745644599	271	102	80	191	16
1288	Q9H8Y5	Q04311	0.266086956522	548	262	153	395	27
1961	Q8WV22	Q07913	0.248962655602	227	148	60	167	14
643	Q00325	P40035	0.473333333333	292	78	142	150	8
235	Q92562	P42837	0.367802585194	823	140	313	510	28
201	P48449	P38604	0.403846153846	715	33	294	421	13
1924	Q07326	Q06636	0.258064516129	176	86	48	128	10
257	Q14974	Q06142	0.336793540946	849	39	292	557	18
1024	P04179	P00447	0.426666666667	220	15	96	124	5
404	Q03701	Q12176	0.302900107411	897	285	282	615	34
50	P61221	Q03195	0.683250414594	599	9	412	187	4
1748	Q96EK6	P43577	0.315789473684	148	47	48	100	4
331	Q12986	P53971	0.319496855346	765	555	254	511	30
4	Q14204	P36022	0.297721146778	4008	722	1215	2793	73
118	P33991	P30665	0.445100354191	830	136	377	453	17
353	Q9NTK5	P38219	0.530456852792	388	14	209	179	6
1337	O95619	P53930	0.339622641509	204	45	72	132	8
187	Q92878	P12753	0.295974743489	1226	172	375	851	41
1729	P62306	P54999	0.525	77	18	42	35	3
457	P36957	P19262	0.451685393258	436	44	201	235	9
309	Q08J23	P38205	0.363241678726	674	103	251	423	17
722	Q9BT22	P16661	0.362416107383	436	41	162	274	11
1423	Q9Y333	P38203	0.631578947368	95	0	60	35	0
293	Q8NI36	Q06078	0.316371681416	885	120	286	599	19
220	A5YKK6	P25655	0.254245754246	1919	646	509	1410	83
928	P49848	P53040	0.288659793814	471	251	140	331	14
581	Q8IYB8	P32580	0.323262839879	633	257	214	419	29
941	P10768	P40363	0.388888888889	279	23	112	167	9
1771	Q16635	Q06510	0.251700680272	281	111	74	207	13
632	Q14191	P35187	0.261923377639	1225	429	335	890	54
1073	P62750	P04456	0.615384615385	142	14	88	54	1
487	P40937	P38629	0.489614243323	332	16	165	167	5
1395	P55789	P27882	0.363636363636	160	74	60	100	5
1048	Q8NI27	P53552	0.217888365837	1420	350	324	1096	67
32	P53621	P53622	0.438741721854	1186	53	530	656	22
347	Q9P2K8	P15442	0.267463813719	1527	254	425	1102	62
1827	Q9BZD4	P33895	0.234042553191	405	105	99	306	18
1904	Q9Y6W3	Q03792	0.23652173913	538	464	136	402	37
2020	Q9Y244	P38293	0.234482758621	140	9	34	106	5
476	P27694	P22336	0.323529411765	599	39	198	401	13
1692	Q96LU5	P28627	0.347305389222	161	34	58	103	6
1396	O14929	Q12341	0.256756756757	360	73	95	265	10
1092	Q8N9T8	P42846	0.282456140351	542	210	161	381	28
355	Q92889	P06777	0.314507198228	877	262	284	593	26
2039	Q8WV07	P53846	0.248120300752	128	43	33	95	5
518	Q13867	Q01532	0.386462882096	445	48	177	268	13
670	Q9H6U8	P53868	0.32962962963	523	120	178	345	17
628	P13804	Q12480	0.441176470588	333	11	150	183	7
214	P52701	Q03834	0.327630453379	1130	342	383	747	39
754	Q9BRX2	P33309	0.337696335079	376	19	129	247	6
1747	P61604	P38910	0.409523809524	102	4	43	59	3
164	O75027	P40416	0.4500723589	677	88	311	366	14
1502	Q96T52	P46972	0.36312849162	173	6	65	108	6
653	Q01780	Q12149	0.297407912688	702	214	218	484	31
698	O75844	P47154	0.37528604119	428	72	164	264	9
1569	Q9UMS4	P32523	0.248434237996	451	105	119	332	28
360	P52732	P28742	0.310689310689	962	243	311	651	39
681	Q13112	Q04199	0.356659142212	431	165	158	273	12
725	Q9H9Y4	Q08726	0.418831168831	301	55	129	172	7
645	Q9NQH7	P40051	0.336048879837	478	62	165	313	13
495	Q504Q3	P53010	0.262626262626	1051	215	286	765	38
1768	P32780	P32776	0.218518518519	507	176	118	389	33
1041	Q86SQ9	P35196	0.401459854015	267	85	110	157	7
938	Q9H4K7	P38860	0.341145833333	374	176	131	243	10
1322	Q9NX24	P32495	0.456375838926	145	19	68	77	4
922	Q00341	P06105	0.216940363008	1116	258	251	865	41
225	P49411	P02992	0.567505720824	432	25	248	184	5
1437	Q0GE19	Q05131	0.23782234957	340	94	83	257	9
18	O14841	P28273	0.492822966507	1236	102	618	618	18
752	O43709	P25627	0.464028776978	274	8	129	145	4
1967	P22234	P27616	0.221014492754	264	203	61	203	12
1900	Q6RFH5	P53136	0.231607629428	344	160	85	259	23
362	Q9P2R7	P53312	0.459016393443	424	42	196	228	3
64	Q9ULG1	P53115	0.392772977219	1225	595	500	725	48
677	P23786	P80235	0.316666666667	579	187	190	389	21
1289	Q9UNI6	Q02256	0.290419161677	322	60	97	225	12
392	O60524	Q12532	0.298086606244	956	202	296	660	37
732	O43172	P20053	0.322580645161	455	77	150	305	10
1788	P62308	P40204	0.513157894737	74	5	39	35	2
1881	P60059	P35179	0.441176470588	66	16	30	36	2
261	Q9NVX2	P25382	0.473469387755	479	42	232	247	11
1504	Q9ULX3	Q08444	0.278606965174	378	115	112	266	24
929	Q15257	P40454	0.373456790123	315	121	121	194	9
1101	Q6UXN9	P36104	0.324921135647	311	20	103	208	6
1174	O00762	P52492	0.525316455696	154	27	83	71	4
1992	Q9NPA8	Q6WNK7	0.275510204082	95	7	27	68	3
1126	Q969X6	Q06679	0.249637155298	661	140	172	489	28
1789	P78330	P42941	0.262008733624	222	90	60	162	7
1652	Q9NYG5	Q12157	0.488372093023	84	81	42	42	2
1874	Q9Y3B9	Q06511	0.264573991031	210	112	59	151	13
1638	O14734	P41903	0.255663430421	300	68	79	221	9
1134	P49770	P32502	0.336134453782	345	42	120	225	12
1640	O15116	P47017	0.36641221374	125	55	48	77	6
2028	P82932	P28778	0.261904761905	120	16	33	87	6
625	P50613	P06242	0.465798045603	303	46	143	160	4
104	Q9UQE7	P47037	0.327257663629	1190	67	395	795	17
428	P53384	P52920	0.525641025641	309	30	164	145	3
767	Q8WV93	P32317	0.354485776805	438	114	162	276	19
339	Q969S9	P39677	0.376518218623	719	160	279	440	22
1133	P04843	P41543	0.252676659529	450	183	118	332	17
1855	Q9NUM3	Q12067	0.261194029851	258	104	70	188	10
2030	Q8N2Z9	Q3E835	0.268817204301	90	48	25	65	3
328	P15104	P32288	0.528301886792	366	11	196	170	5
1450	Q8NI37	P38797	0.31715210356	298	51	98	200	11
460	Q99797	P35999	0.304895104895	700	85	218	482	15
405	Q8IY18	Q08204	0.281663516068	1027	140	298	729	31
1526	Q9NZJ6	P27680	0.290780141844	272	137	82	190	10
1693	Q8TBQ9	Q8TGJ3	0.602739726027	71	2	44	27	2
388	O14617	Q08951	0.290540540541	859	367	258	601	29
1383	Q9BY32	P47119	0.40206185567	188	15	78	110	6
97	P0CG48	P0CG63	0.953002610966	381	304	365	16	2
788	Q9NRX1	Q99216	0.5	248	30	127	121	6
659	O75845	P32353	0.425249169435	296	72	128	168	5
1094	Q8WVB6	P49956	0.24765729585	717	282	185	532	30
1277	Q9UPQ8	P20048	0.248434237996	455	147	119	336	24
1868	O75208	Q05779	0.236641221374	251	76	62	189	11
131	P23526	P39954	0.710344827586	432	17	309	123	3
743	P25787	P23639	0.590717299578	232	20	140	92	5
1477	Q86SX6	Q02784	0.405594405594	138	31	58	80	5
1570	Q9NPF5	P53201	0.229885057471	411	121	100	311	24
1916	Q9NWV4	P25654	0.243902439024	158	26	40	118	6
2035	Q9NZ43	P53146	0.207468879668	230	44	50	180	11
413	P56537	Q12522	0.722448979592	245	0	177	68	0
1296	Q9UBQ7	P53839	0.32298136646	310	58	104	206	12
563	Q9H8H2	P36120	0.312680115274	673	247	217	456	21
1143	Q14694	Q01477	0.247119078105	744	222	193	551	37
780	Q9H270	P12868	0.22761596548	891	188	211	680	36
1618	Q9H446	Q03768	0.295652173913	218	72	68	150	12
145	P25205	P24279	0.460687960688	793	193	375	418	21
2023	P57088	Q12164	0.223107569721	239	48	56	183	12
608	Q7Z695	Q02981	0.315789473684	554	175	180	374	16
10	O75643	P32639	0.398683591913	2087	125	848	1239	40
894	Q9Y673	P40350	0.39263803681	314	30	128	186	12
1715	P52657	P32774	0.392523364486	104	23	42	62	3
878	Q9Y221	Q08962	0.563535911602	180	1	102	78	1
1809	A0PJX2	Q08952	0.276018099548	211	66	61	150	10
1267	Q8WVE0	P53200	0.398190045249	213	36	88	125	8
186	P18858	P04819	0.413071895425	749	176	316	433	16
2032	P57054	Q04082	0.223076923077	125	48	29	96	5
766	P00480	P05150	0.369696969697	324	44	122	202	6
823	Q9Y2Z9	P53318	0.314410480349	449	49	144	305	9
12	P30876	P08518	0.594548551959	1162	74	698	464	12
747	P49642	P10363	0.325	391	47	130	261	9
1235	Q15291	P39706	0.287769784173	400	164	120	280	17
1645	Q96FZ7	Q04272	0.28078817734	195	32	57	138	8
710	Q7L3T8	P39965	0.334831460674	429	193	149	280	16
1451	Q9UNS1	P53840	0.217349857007	992	462	228	764	57
694	Q9HCS7	Q04048	0.25	774	166	200	574	26
1248	O14735	P06197	0.401913875598	205	23	84	121	4
1179	Q96NY9	Q04149	0.266294227188	519	145	143	376	18
663	Q7KZN9	P40086	0.392771084337	404	88	163	241	11
810	Q9Y5K8	P32610	0.496	245	13	124	121	5
71	Q96RP9	P25039	0.53288590604	733	46	397	336	12
140	P50991	P39078	0.584120982987	524	19	309	215	5
1025	Q9H993	Q04371	0.293721973094	433	45	131	302	13
1806	Q9P1U0	P32529	0.352941176471	116	19	42	74	3
1089	Q9P253	P27801	0.221468926554	851	189	196	655	34
1787	Q16342	P25040	0.229226361032	330	92	80	250	19
717	Q9UJX2	P16522	0.328413284133	520	183	178	342	22
2025	Q6ZYL4	Q3E7C1	0.257142857143	68	7	18	50	2
753	P30793	P51601	0.526748971193	237	19	128	109	6
543	Q13042	P09798	0.304635761589	590	280	184	406	14
1067	Q8WUM4	Q12033	0.25	652	225	168	484	20
763	P54578	P43593	0.327695560254	460	73	155	305	13
446	Q96PZ0	Q08647	0.371287128713	584	169	225	359	22
944	O75879	P33893	0.302504816956	501	96	157	344	18
437	P55884	P06103	0.307365439093	685	207	217	468	21
661	P08240	P32916	0.350086655113	558	143	202	356	19
2010	P56277	Q3E7A9	0.289855072464	66	9	20	46	3
1769	P61009	Q12133	0.251396648045	173	18	45	128	6
174	Q9UG63	P40024	0.495098039216	602	29	303	299	10
236	P04424	P04076	0.540948275862	460	7	251	209	4
777	Q9Y606	Q12211	0.342105263158	406	159	143	263	12
240	Q9Y295	P39729	0.655826558266	367	2	242	125	2
154	Q9Y5B9	P32558	0.348605577689	979	124	350	629	25
474	O15457	P40965	0.290763968073	854	106	255	599	23
1960	Q9BRJ6	P25617	0.213930348259	193	98	43	150	8
68	Q04446	P32775	0.586705202312	678	50	406	272	14
359	Q9Y4C8	Q06106	0.321184510251	851	145	282	569	27
668	Q5U5R9	P40985	0.289682539683	727	214	219	508	29
1546	Q9Y3E7	P36095	0.276018099548	218	10	61	157	3
148	P62495	P12385	0.671264367816	431	12	292	139	4
450	Q16719	Q05979	0.453724604966	429	60	201	228	14
87	P25705	P07251	0.702752293578	541	16	383	158	4
1988	Q7Z6J8	P47172	0.211143695015	325	86	72	253	16
804	P08397	P28789	0.399390243902	320	48	131	189	8
1207	Q7L211	P42840	0.333333333333	280	61	96	184	8
1937	Q8N5M1	P22135	0.221830985915	271	72	63	208	13
1155	Q9Y484	P43601	0.296089385475	345	170	106	239	13
1033	Q9Y3A5	Q07953	0.407258064516	244	12	101	143	4
458	Q14152	P38249	0.289587852495	891	564	267	624	31
588	Q9BVS4	P40160	0.403465346535	393	191	163	230	11
1616	Q9BWT6	P53102	0.266666666667	205	14	56	149	5
967	Q7Z7B1	P47026	0.348484848485	449	96	161	288	13
136	Q9Y230	Q12464	0.665948275862	460	14	309	151	4
1974	Q6UW68	Q06089	0.262195121951	158	34	43	115	6
326	O00541	P53261	0.409722222222	562	69	236	326	14
1716	P39210	Q06563	0.290502793296	176	21	52	124	3
1002	P36542	P38077	0.38	294	21	114	180	6
249	Q8TDD1	Q12389	0.385714285714	817	242	324	493	23
1197	Q9UBQ0	P38759	0.443243243243	180	104	82	98	5
253	P48506	P32477	0.431279620853	618	79	273	345	15
1109	Q9NT62	P40344	0.361111111111	281	62	104	177	7
1056	O15182	P06704	0.558282208589	161	6	91	70	2
1188	O43159	P38961	0.350148367953	323	202	118	205	14
2	Q9NU22	Q12019	0.317496385044	4666	1174	1537	3129	175
930	Q96T76	P40469	0.249746192893	949	164	246	703	36
734	Q13610	P21304	0.355289421158	485	107	178	307	16
1681	O14530	Q04004	0.290178571429	216	24	65	151	8
1014	P30085	P15700	0.474226804124	191	18	92	99	3
1078	Q96FX7	P46959	0.39527027027	285	102	117	168	11
612	Q96I59	P25345	0.375796178344	456	57	177	279	15
336	Q13535	P38111	0.226117440841	2188	636	516	1672	94
1883	Q9BRT9	Q03406	0.226086956522	223	71	52	171	7
1511	Q9NY61	Q06631	0.267368421053	450	194	127	323	25
430	P09110	P27796	0.503597122302	407	27	210	197	10
553	Q6PI48	P15179	0.346405228758	590	123	212	378	22
537	P08574	P07143	0.513333333333	294	46	154	140	6
1592	Q8IUR0	Q03337	0.292553191489	183	105	55	128	5
1243	P43034	P39946	0.287769784173	397	110	120	277	20
1372	P62888	P14120	0.570093457944	105	10	61	44	2
1959	Q6GMV2	P38890	0.245179063361	346	252	89	257	17
2034	Q8N983	Q06090	0.219858156028	137	81	31	106	4
1860	Q96EB1	Q02884	0.257985257985	385	110	105	280	22
1923	Q53S33	P39724	0.294117647059	98	29	30	68	4
966	Q53GS9	P43589	0.306487695749	430	153	137	293	17
514	Q9UBT2	P52488	0.345047923323	604	68	216	388	22
1119	P63208	P52286	0.506024096386	162	33	84	78	4
993	P62805	P02309	0.922330097087	103	0	95	8	0
703	O94822	Q04781	0.232450331126	1439	450	351	1088	71
606	Q9NWU1	P39525	0.408983451537	412	77	173	239	11
20	P55072	P25694	0.689655172414	806	29	560	246	6
163	O95427	P36051	0.374863387978	895	60	343	552	20
1710	Q9BYG3	P53927	0.311764705882	164	185	53	111	6
955	Q7Z3U7	P48563	0.209437621202	1474	405	324	1150	73
1294	P42696	Q08208	0.315	379	131	126	253	21
1873	Q9BSH5	Q04223	0.237154150198	243	67	60	183	10
467	Q15021	Q06156	0.256698357822	1128	321	297	831	29
63	Q14692	Q08965	0.433216168717	1105	255	493	612	33
438	Q14565	P25453	0.526785714286	333	8	177	156	3
1489	Q9BQ83	P38324	0.256505576208	256	67	69	187	13
1166	Q969S0	P40004	0.289552238806	329	15	97	232	6
1407	Q9HC21	P53257	0.259615384615	304	26	81	223	8
1519	Q8TBK2	Q12504	0.248291571754	412	143	109	303	27
1077	Q08AI6	P39981	0.28835978836	371	144	109	262	7
1439	Q7Z6V5	P47058	0.365714285714	170	101	64	106	5
1662	Q9NQT4	P53256	0.278301886792	207	44	59	148	5
369	O43766	P32875	0.537234042553	368	50	202	166	8
1613	P32320	Q06549	0.368055555556	139	10	53	86	5
817	Q969H0	P39014	0.275800711744	542	263	155	387	20
1421	P39656	P33767	0.241134751773	408	70	102	306	15
1755	Q3KRA6	P36154	0.3515625	126	29	45	81	2
714	Q15637	Q12186	0.358531317495	444	227	166	278	19
230	P38919	Q12099	0.606516290727	396	18	242	154	3
1343	O60294	Q08282	0.251612903226	593	195	156	437	27
1346	Q7RTV0	Q06835	0.546296296296	106	5	59	47	2
1292	O43395	Q03338	0.256292906178	416	320	112	304	21
1676	Q5JVF3	P47130	0.22480620155	371	80	87	284	16
1797	O95568	P40481	0.247838616715	332	85	86	246	15
176	O75691	P35194	0.234154218813	2398	482	580	1818	79
1536	Q9H967	Q12510	0.258474576271	449	250	122	327	23
564	Q9UKM7	P32906	0.388329979879	479	290	193	286	18
1641	Q6IPR3	P53177	0.288617886179	236	60	71	165	10
13	Q9NW08	P22276	0.62323943662	1124	34	708	416	12
77	O95347	P38989	0.365269461078	1160	47	427	733	9
874	O95749	Q12051	0.409240924092	294	47	124	170	9
393	Q12788	Q05946	0.3125	767	91	245	522	17
37	P28340	P15436	0.489262371615	1052	100	524	528	19
1259	Q9Y3B8	P54964	0.347107438017	237	32	84	153	5
1231	P62877	Q08273	0.572727272727	108	13	63	45	2
137	P07954	P08417	0.646341463415	487	24	318	169	5
1388	P29083	P36100	0.248259860789	415	91	107	308	16
806	P22570	P48360	0.336152219873	459	66	159	300	14
1016	Q96GX9	P47095	0.443037974684	231	24	105	126	6
1276	Q96P70	P53067	0.21494370522	935	175	210	725	42
1305	Q9UKK9	Q01976	0.371559633028	211	28	81	130	7
1434	Q96KG9	Q12453	0.219076005961	648	273	147	501	23
1757	P57081	Q03774	0.255208333333	362	132	98	264	22
835	P13051	P12887	0.433121019108	303	66	136	167	11
1047	Q6P3W7	P53009	0.227040816327	745	243	178	567	39
580	O43681	Q12154	0.468277945619	323	56	155	168	8
1273	O75821	Q04067	0.297101449275	267	60	82	185	9
1870	Q8NHR9	P07274	0.2734375	126	3	35	91	2
1241	O00519	P22580	0.254752851711	509	110	134	375	17
1993	Q9UQ10	Q04869	0.25	303	77	81	222	21
477	Q9H583	P42945	0.242476851852	1647	619	419	1228	81
1669	Q96F25	P38242	0.350230414747	207	39	76	131	10
1811	P62310	P57743	0.395348837209	83	25	34	49	3
1547	Q9ULW3	P53743	0.278225806452	238	112	69	169	10
816	Q70HW3	P38921	0.454212454212	267	24	124	143	6
496	Q2NL82	Q07381	0.301546391753	754	84	234	520	22
470	Q9UM11	P53197	0.392	489	84	196	293	11
384	P21912	P21801	0.674157303371	262	22	180	82	5
3	P27708	P07259	0.512373968836	2149	141	1118	1031	33
1976	Q9Y3E2	Q3E793	0.32380952381	99	49	34	65	6
1819	Q14CX7	Q12387	0.216981132075	705	358	161	544	37
1406	Q96E52	P36163	0.25	336	197	87	249	12
1591	P78383	Q12520	0.260869565217	311	39	84	227	11
1501	Q6UWP2	Q05016	0.301526717557	253	21	79	174	9
210	Q15031	P11325	0.367935409458	843	111	319	524	24
638	Q92759	Q02939	0.365426695842	449	77	167	282	8
1637	O75683	P36080	0.257617728532	341	113	93	248	20
1336	P25208	P13434	0.455782312925	143	65	67	76	4
980	Q6P3X3	P42842	0.233128834356	787	173	190	597	28
1683	P78318	Q04372	0.243975903614	316	73	81	235	16
1646	Q9BSH4	P53212	0.273062730627	259	69	74	185	12
2005	Q9BRS8	P33399	0.221818181818	260	246	61	199	15
1899	P62312	Q06406	0.41975308642	78	10	34	44	3
453	P53611	P20133	0.504643962848	318	20	163	155	5
1091	Q9GZN1	Q12509	0.28320802005	388	58	113	275	11
916	Q96EE3	P53011	0.367088607595	307	95	116	191	9
1202	Q9NYA1	Q06147	0.259946949602	361	349	98	263	16
639	Q9H3S5	P47088	0.3825	392	42	153	239	8
451	Q9NTJ5	P32368	0.354452054795	572	66	207	365	12
796	O95202	Q08179	0.307832422587	526	260	169	357	23
1590	Q15287	P27476	0.281045751634	287	145	86	201	19
2015	O60783	P10663	0.275862068966	112	19	32	80	4
1136	P36915	P53145	0.271626297578	554	139	157	397	24
1963	Q9H3K6	P53082	0.32183908046	85	36	28	57	2
768	Q8WU90	Q12000	0.428977272727	335	101	151	184	17
1162	O75419	Q08032	0.260945709282	550	116	149	401	21
508	Q92600	P53829	0.570446735395	288	96	166	122	3
899	P27449	P25515	0.683870967742	153	9	106	47	2
1316	Q9Y3D0	P38829	0.479041916168	163	68	80	83	4
1675	O00623	Q04370	0.212290502793	339	80	76	263	19
1115	Q8N6M5	P25335	0.322188449848	317	100	106	211	12
1795	P20674	P00427	0.331125827815	147	4	50	97	4
1762	Q8N7H5	P38351	0.23488372093	408	160	101	307	22
129	P06744	P12709	0.574545454545	544	24	316	228	6
1939	Q9Y3D3	Q02608	0.344827586207	111	36	40	71	5
67	P19447	Q00578	0.543927648579	754	117	421	333	20
793	P55263	P47143	0.383480825959	332	38	130	202	7
687	O15269	P25045	0.344398340249	470	91	166	304	12
1841	Q9P287	Q06338	0.235714285714	269	59	66	203	11
1741	O75586	P38782	0.297674418605	203	135	64	139	12
409	P32929	P31373	0.503797468354	387	25	199	188	8
1838	Q9Y4Z0	P40070	0.330882352941	133	60	45	88	3
1595	Q9H9E3	Q06096	0.201550387597	744	158	156	588	30
1858	Q53GS7	Q12315	0.227272727273	478	280	115	363	28
332	Q14690	Q05022	0.280076384468	1525	550	440	1085	46
1601	Q2TAA2	P41734	0.321739130435	221	44	74	147	9
1518	Q9H477	P25332	0.287539936102	302	51	90	212	11
887	Q8NBF6	Q12500	0.289523809524	504	404	152	352	21
1206	O15260	P53337	0.327137546468	263	53	88	175	6
757	O75153	Q03690	0.24735915493	1095	396	281	814	41
1411	Q69YN2	P53255	0.262425447316	475	95	132	343	28
44	P49588	P40825	0.502087682672	945	61	481	464	13
1195	Q99807	P41735	0.420560747664	209	32	90	119	5
923	P49005	P46957	0.3125	434	88	140	294	14
1201	Q96H20	Q12483	0.361344537815	233	25	86	147	5
395	P37287	P32363	0.438752783964	441	54	197	244	8
1602	Q9H3S4	P35202	0.282868525896	243	76	71	172	8
448	P53597	P53598	0.55421686747	325	25	184	141	7
2001	A6NK06	Q12428	0.211663066955	439	119	98	341	24
1419	O00233	P40555	0.351851851852	211	21	76	135	5
1647	Q9Y253	Q04049	0.233273056058	529	287	129	400	24
25	O95602	P10964	0.39987600744	1582	220	645	937	31
468	Q92643	P49018	0.456852791878	388	30	180	208	6
1100	P62841	Q01855	0.601398601399	142	3	86	56	1
985	Q9UHC1	Q12083	0.239416058394	660	848	164	496	25
21	O14981	P32333	0.391156462585	1726	264	690	1036	38
1433	Q96S44	P53323	0.344398340249	232	50	83	149	9
150	Q5JRX3	P32898	0.354481369587	973	80	352	621	20
782	P62166	Q06389	0.6	190	0	114	76	0
1690	P21549	P43567	0.249343832021	366	45	95	271	15
1394	O43929	P54791	0.259174311927	416	133	113	303	20
872	Q6P1X5	P23255	0.231244483672	1080	446	262	818	53
1804	O95391	Q02775	0.228813559322	335	298	81	254	19
179	Q8NB90	P32794	0.436868686869	766	141	346	420	26
297	Q13472	P13099	0.424193548387	605	447	263	342	15
707	Q9BQ67	Q04225	0.34451901566	433	91	154	279	14
968	Q8WTW4	P39923	0.294871794872	380	235	115	265	10
1488	O75832	P50086	0.336283185841	219	16	76	143	7
1470	Q9UIC8	Q04081	0.285245901639	290	82	87	203	15
708	P48728	P48015	0.401515151515	383	37	159	224	13
1468	Q9NQT5	Q08285	0.309623430962	228	59	74	154	11
1029	Q5MNZ6	P50079	0.344729344729	338	116	121	217	13
1767	A6NK58	Q06005	0.265306122449	231	97	65	166	14
556	Q9Y2T3	Q07729	0.393406593407	446	51	179	267	9
1448	P82094	P47166	0.229041916168	632	536	153	479	36
1183	P61086	P21734	0.427860696517	194	27	86	108	7
1879	P05423	P25441	0.228494623656	350	120	85	265	22
873	Q9NW13	P37838	0.303541315346	572	300	180	392	21
1438	Q15061	Q04177	0.249589490969	584	152	152	432	25
1660	Q9BRG1	P47142	0.293785310734	173	32	52	121	4
675	Q9NQR4	P49954	0.483985765125	275	17	136	139	6
126	Q03468	P40352	0.415311004785	1010	558	434	576	35
105	P09884	P13382	0.337828246984	1362	206	476	886	47
1321	Q86VD9	Q04174	0.294238683128	468	159	143	325	18
1732	Q9Y3D7	P42949	0.370078740157	123	28	47	76	4
1564	O60683	Q05568	0.265993265993	287	89	79	208	10
280	Q9Y2X3	Q12499	0.472972972973	507	26	245	262	11
1726	Q9NQP4	P53900	0.348484848485	129	5	46	83	3
116	P54098	P15801	0.397397397397	975	543	397	578	24
1508	O60762	P14020	0.302904564315	233	61	73	160	8
99	Q15477	P35207	0.392372881356	1149	235	463	686	31
713	O75083	P46680	0.290268456376	572	77	173	399	24
503	Q14527	P32849	0.28982300885	867	444	262	605	37
654	Q2TAA5	P53954	0.345454545455	477	86	171	306	18
1548	Q8IWW8	P10127	0.229007633588	381	87	90	291	12
1782	Q9UEE9	P38326	0.239436619718	271	60	68	203	13
1872	Q9BYN0	P36077	0.363636363636	104	56	40	64	6
709	Q99613	P32497	0.277777777778	732	261	210	522	24
822	P12955	P43590	0.30612244898	475	78	150	325	15
848	Q8N1F7	P34077	0.254408060453	766	126	202	564	28
1053	Q6IQ20	Q02883	0.315521628499	379	103	124	255	14
1742	Q9BTM9	P40554	0.42	97	6	42	55	3
789	P52948	P49687	0.245546088304	1220	694	317	903	71
2017	Q9NP79	Q06263	0.205387205387	282	73	61	221	15
1435	Q9NWL6	Q04489	0.303846153846	497	174	158	339	23
166	Q16134	Q08822	0.495161290323	608	32	307	301	12
1749	Q9Y4Y9	P40089	0.443181818182	85	14	39	46	3
1278	Q9NPD3	P46948	0.342741935484	243	5	85	158	5
756	Q9HCG8	P53333	0.284982935154	573	339	167	406	13
1659	Q96BK5	P53335	0.28102189781	260	79	77	183	14
572	Q08945	Q04636	0.33072407045	499	263	169	330	12
432	Q8WVM8	P22213	0.323943661972	627	54	207	420	12
1770	P56937	Q12452	0.219941348974	331	26	75	256	10
1981	Q14061	Q12287	0.338461538462	63	6	22	41	2
1154	Q9HC07	P38301	0.335766423358	268	68	92	176	6
49	O43143	P53131	0.597112860892	748	66	455	293	14
1007	P83876	Q06819	0.636363636364	142	1	91	51	1
1283	Q9H7D7	P25569	0.236234458259	538	330	133	405	25
1709	Q96FK6	P53962	0.266483516484	344	88	97	247	20
