cluster	protein1	protein2	overall_score	total_align_length	total_gap_length	total_perfect_align	total_nonperfect_align	n_gaps	bitscore	H.sapiens_ProteinID	S.cerevisiae_ProteinID	H.sapiens_GeneID	S.cerevisiae_GeneID	H.sapiens_structure	S.cerevisiae_structure	name	length	secondaryIdentifier	primaryIdentifier	hyperlink	any_structure	auxotrophic	non_respiratory	non_carbon_using
1470	Q9UIC8	Q04081	0.285245901639	290	82	87	203	15	117	Q9UIC8	Q04081	LCMT1	PPM1	TRUE	TRUE	Protein Phosphatase Methyltransferase	987	YDR435C	S000002843	https://www.yeastgenome.org/locus/S000002843	TRUE	FALSE	TRUE	FALSE
697	P25789	P23638	0.5	255	9	130	125	5	263	P25789	P23638	PSMA4	PRE9	TRUE	TRUE	PRoteinase yscE	777	YGR135W	S000003367	https://www.yeastgenome.org/locus/S000003367	TRUE	TRUE	FALSE	FALSE
1391	Q9Y3E5	P34222	0.420765027322	179	29	77	102	4	127	Q9Y3E5	P34222	PTRH2	PTH2	TRUE	FALSE	Peptidyl-Trna Hydrolase	627	YBL057C	S000000153	https://www.yeastgenome.org/locus/S000000153	TRUE	FALSE	TRUE	FALSE
1834	P14927	P00128	0.339130434783	111	16	39	72	4	71	P14927	P00128	UQCRB	QCR7	TRUE	TRUE	ubiQuinol-cytochrome C oxidoReductase	384	YDR529C	S000002937	https://www.yeastgenome.org/locus/S000002937	TRUE	FALSE	TRUE	FALSE
2016	Q9UDW1	P22289	0.327868852459	59	11	20	39	2	47	Q9UDW1	P22289	UQCR10	QCR9	TRUE	TRUE	ubiQuinol-cytochrome C oxidoReductase	414	YGR183C	S000003415	https://www.yeastgenome.org/locus/S000003415	TRUE	FALSE	FALSE	TRUE
268	Q06609	P25454	0.661807580175	339	61	227	112	4	463	Q06609	P25454	RAD51	RAD51	TRUE	TRUE	RADiation sensitive	1203	YER095W	S000000897	https://www.yeastgenome.org/locus/S000000897	TRUE	TRUE	FALSE	FALSE
1067	Q8WUM4	Q12033	0.25	652	225	168	484	20	182	Q8WUM4	Q12033	PDCD6IP	RIM20	TRUE	FALSE	Regulator of IME2	1986	YOR275C	S000005801	https://www.yeastgenome.org/locus/S000005801	TRUE	FALSE	TRUE	FALSE
703	O94822	Q04781	0.232450331126	1439	450	351	1088	71	261	O94822	Q04781	LTN1	RKR1	TRUE	TRUE	RING domain mutant Killed by Rtf1 deletion	4689	YMR247C	S000004861	https://www.yeastgenome.org/locus/S000004861	TRUE	TRUE	FALSE	FALSE
1461	Q5T653	P32611	0.304635761589	287	124	92	195	15	118	Q5T653	P32611	MRPL2	RML2	TRUE	TRUE	Ribosomal Mitochondrial Large	1182	YEL050C	S000000776	https://www.yeastgenome.org/locus/S000000776	TRUE	FALSE	TRUE	TRUE
1497	P36954	P27999	0.431034482759	112	23	50	62	4	113	P36954	P27999	POLR2I	RPB9	TRUE	TRUE	RNA Polymerase B	369	YGL070C	S000003038	https://www.yeastgenome.org/locus/S000003038	TRUE	TRUE	TRUE	FALSE
716	Q96AT9	P46969	0.550218340611	227	12	126	101	2	256	Q96AT9	P46969	RPE	RPE1	TRUE	FALSE	Ribulose 5-Phosphate Epimerase	717	YJL121C	S000003657	https://www.yeastgenome.org/locus/S000003657	TRUE	TRUE	TRUE	TRUE
929	Q15257	P40454	0.373456790123	315	121	121	194	9	207	Q15257	P40454	PTPA	RRD1	TRUE	TRUE	Resistant to Rapamycin Deletion	1182	YIL153W	S000001415	https://www.yeastgenome.org/locus/S000001415	TRUE	TRUE	FALSE	FALSE
1901	Q9P0J6	O14464	0.415730337079	83	30	37	46	6	64	Q9P0J6	O14464	MRPL36	RTC6	TRUE	TRUE	Restriction of Telomere Capping	282	YPL183W-A	S000007224	https://www.yeastgenome.org/locus/S000007224	TRUE	FALSE	TRUE	FALSE
1214	Q92541	P53064	0.246350364964	525	218	135	390	23	154	Q92541	P53064	RTF1	RTF1	TRUE	TRUE	Restores TBP Function	1677	YGL244W	S000003213	https://www.yeastgenome.org/locus/S000003213	TRUE	TRUE	TRUE	FALSE
451	Q9NTJ5	P32368	0.354452054795	572	66	207	365	12	350	Q9NTJ5	P32368	SACM1L	SAC1	FALSE	TRUE	Suppressor of ACtin	1872	YKL212W	S000001695	https://www.yeastgenome.org/locus/S000001695	TRUE	TRUE	TRUE	FALSE
1081	Q7L5A8	Q03529	0.31693989071	351	54	116	235	15	180	Q7L5A8	Q03529	FA2H	SCS7	FALSE	TRUE	Suppressor of Ca2+ Sensitivity	1155	YMR272C	S000004885	https://www.yeastgenome.org/locus/S000004885	TRUE	TRUE	FALSE	FALSE
384	P21912	P21801	0.674157303371	262	22	180	82	5	383	P21912	P21801	SDHB	SDH2	FALSE	TRUE	Succinate DeHydrogenase	801	YLL041C	S000003964	https://www.yeastgenome.org/locus/S000003964	TRUE	FALSE	TRUE	TRUE
1230	O75396	P22214	0.356807511737	207	15	76	131	6	151	O75396	P22214	SEC22B	SEC22	TRUE	FALSE	SECretory	645	YLR268W	S000004258	https://www.yeastgenome.org/locus/S000004258	TRUE	TRUE	FALSE	FALSE
666	Q9Y617	P33330	0.41018766756	365	35	153	212	8	271	Q9Y617	P33330	PSAT1	SER1	TRUE	FALSE	SERine requiring	1188	YOR184W	S000005710	https://www.yeastgenome.org/locus/S000005710	TRUE	TRUE	FALSE	FALSE
1789	P78330	P42941	0.262008733624	222	90	60	162	7	77	P78330	P42941	PSPH	SER2	TRUE	FALSE	SERine requiring	930	YGR208W	S000003440	https://www.yeastgenome.org/locus/S000003440	TRUE	TRUE	FALSE	FALSE
632	Q14191	P35187	0.261923377639	1225	429	335	890	54	283	Q14191	P35187	WRN	SGS1	TRUE	TRUE	Slow Growth Suppressor	4344	YMR190C	S000004802	https://www.yeastgenome.org/locus/S000004802	TRUE	TRUE	FALSE	FALSE
1201	Q96H20	Q12483	0.361344537815	233	25	86	147	5	156	Q96H20	Q12483	SNF8	SNF8	TRUE	TRUE	Sucrose NonFermenting	702	YPL002C	S000005923	https://www.yeastgenome.org/locus/S000005923	TRUE	FALSE	FALSE	TRUE
1107	P00441	P00445	0.541935483871	153	2	84	69	2	173	P00441	P00445	SOD1	SOD1	TRUE	TRUE	SuperOxide Dismutase	465	YJR104C	S000003865	https://www.yeastgenome.org/locus/S000003865	TRUE	TRUE	TRUE	FALSE
1024	P04179	P00447	0.426666666667	220	15	96	124	5	189	P04179	P00447	SOD2	SOD2	TRUE	TRUE	SuperOxide Dismutase	702	YHR008C	S000001050	https://www.yeastgenome.org/locus/S000001050	TRUE	FALSE	TRUE	FALSE
1114	P17707	P21182	0.316568047337	328	74	107	221	10	172	P17707	P21182	AMD1	SPE2	TRUE	FALSE	SPErmidine auxotroph	1191	YOL052C	S000005412	https://www.yeastgenome.org/locus/S000005412	TRUE	TRUE	FALSE	FALSE
434	P19623	Q12074	0.557432432432	292	11	165	127	4	360	P19623	Q12074	SRM	SPE3	TRUE	FALSE	SPErmidine auxotroph	882	YPR069C	S000006273	https://www.yeastgenome.org/locus/S000006273	TRUE	TRUE	FALSE	FALSE
1060	Q9NUI1	P32573	0.378839590444	286	12	111	175	7	183	Q9NUI1	P32573	DECR2	SPS19	TRUE	FALSE	SPorulation-Specific	879	YNL202W	S000005146	https://www.yeastgenome.org/locus/S000005146	TRUE	FALSE	FALSE	TRUE
1707	P63272	P32914	0.4	102	15	42	60	3	88	P63272	P32914	SUPT4H1	SPT4	TRUE	TRUE	SuPpressor of Ty's	309	YGR063C	S000003295	https://www.yeastgenome.org/locus/S000003295	TRUE	TRUE	FALSE	FALSE
1549	Q99816	P25604	0.226666666667	364	47	85	279	11	107	Q99816	P25604	TSG101	STP22	TRUE	TRUE	STerile Pseudoreversion	1158	YCL008C	S000000514	https://www.yeastgenome.org/locus/S000000514	TRUE	FALSE	FALSE	TRUE
233	P42356	P37297	0.270080862534	1773	456	501	1272	82	498	P42356	P37297	PI4KA	STT4	TRUE	FALSE	STaurosporine and Temperature sensitive	5703	YLR305C	S000004296	https://www.yeastgenome.org/locus/S000004296	TRUE	FALSE	FALSE	TRUE
581	Q8IYB8	P32580	0.323262839879	633	257	214	419	29	295	Q8IYB8	P32580	SUPV3L1	SUV3	TRUE	FALSE	SUppressor of Var1	2214	YPL029W	S000005950	https://www.yeastgenome.org/locus/S000005950	TRUE	FALSE	TRUE	TRUE
1235	Q15291	P39706	0.287769784173	400	164	120	280	17	150	Q15291	P39706	RBBP5	SWD1	TRUE	TRUE	Set1c, WD40 repeat protein	1281	YAR003W	S000000064	https://www.yeastgenome.org/locus/S000000064	TRUE	TRUE	FALSE	FALSE
918	Q9UBH6	P40528	0.274452554745	657	284	188	469	28	209	Q9UBH6	P40528	XPR1	SYG1	TRUE	FALSE	Suppressor of Yeast Gpa1	2709	YIL047C	S000001309	https://www.yeastgenome.org/locus/S000001309	TRUE	FALSE	TRUE	FALSE
607	Q86YJ6	P16120	0.359504132231	469	60	174	295	15	289	Q86YJ6	P16120	THNSL2	THR4	FALSE	TRUE	THReonine requiring	1545	YCR053W	S000000649	https://www.yeastgenome.org/locus/S000000649	TRUE	TRUE	FALSE	FALSE
1145	Q9ULC4	P89886	0.461538461538	178	6	84	94	4	168	Q9ULC4	P89886	MCTS1	TMA20	TRUE	FALSE	Translation Machinery Associated	649	YER007C-A	S000002957	https://www.yeastgenome.org/locus/S000002957	TRUE	TRUE	FALSE	FALSE
297	Q13472	P13099	0.424193548387	605	447	263	342	15	443	Q13472	P13099	TOP3A	TOP3	TRUE	FALSE	TOPoisomerase	1971	YLR234W	S000004224	https://www.yeastgenome.org/locus/S000004224	TRUE	FALSE	TRUE	FALSE
1196	Q8TBZ6	Q12400	0.302816901408	278	76	86	192	6	157	Q8TBZ6	Q12400	TRMT10A	TRM10	TRUE	TRUE	Transfer RNA Methyltransferase	882	YOL093W	S000005453	https://www.yeastgenome.org/locus/S000005453	TRUE	TRUE	FALSE	FALSE
601	Q9UBP6	Q12009	0.56640625	252	58	145	107	4	291	Q9UBP6	Q12009	METTL1	TRM8	TRUE	TRUE	Transfer RNA Methyltransferase	861	YDL201W	S000002360	https://www.yeastgenome.org/locus/S000002360	TRUE	TRUE	FALSE	FALSE
723	Q8TBC4	Q99344	0.428571428571	293	176	129	164	8	255	Q8TBC4	Q99344	UBA3	UBA3	TRUE	FALSE	UBiquitin-like protein-Activating enzyme	900	YPR066W	S000006270	https://www.yeastgenome.org/locus/S000006270	TRUE	FALSE	TRUE	FALSE
624	O95396	P38820	0.383561643836	426	48	168	258	12	284	O95396	P38820	MOCS3	UBA4	TRUE	FALSE	UBiquitin-Activating	1323	YHR111W	S000001153	https://www.yeastgenome.org/locus/S000001153	TRUE	TRUE	FALSE	FALSE
97	P0CG48	P0CG63	0.953002610966	381	304	365	16	2	711	P0CG48	P0CG63	UBC	UBI4	TRUE	TRUE	Ubiquitin	1146	YLL039C	S000003962	https://www.yeastgenome.org/locus/S000003962	TRUE	TRUE	TRUE	FALSE
264	Q93009	P50101	0.31914893617	1044	244	345	699	37	466	Q93009	P50101	USP7	UBP15	TRUE	FALSE	UBiquitin-specific Protease	3693	YMR304W	S000004920	https://www.yeastgenome.org/locus/S000004920	TRUE	TRUE	FALSE	FALSE
763	P54578	P43593	0.327695560254	460	73	155	305	13	245	P54578	P43593	USP14	UBP6	TRUE	TRUE	UBiquitin-specific Protease	1500	YFR010W	S000001906	https://www.yeastgenome.org/locus/S000001906	TRUE	TRUE	FALSE	FALSE
516	O95155	P54860	0.285092491839	890	483	262	628	29	318	O95155	P54860	UBE4B	UFD2	TRUE	TRUE	Ubiquitin Fusion Degradation	2886	YDL190C	S000002349	https://www.yeastgenome.org/locus/S000002349	TRUE	TRUE	FALSE	FALSE
1607	Q9Y255	Q05776	0.305084745763	175	44	54	121	2	100	Q9Y255	Q05776	PRELID1	UPS1	TRUE	TRUE	UnProceSsed	528	YLR193C	S000004183	https://www.yeastgenome.org/locus/S000004183	TRUE	FALSE	TRUE	FALSE
1869	Q02127	P28272	0.225490196078	297	115	69	228	9	67	Q02127	P28272	DHODH	URA1	TRUE	FALSE	URAcil requiring	945	YKL216W	S000001699	https://www.yeastgenome.org/locus/S000001699	TRUE	TRUE	FALSE	FALSE
3	P27708	P07259	0.512373968836	2149	141	1118	1031	33	2085	P27708	P07259	CAD	URA2	TRUE	FALSE	URAcil requiring	6645	YJL130C	S000003666	https://www.yeastgenome.org/locus/S000003666	TRUE	TRUE	FALSE	FALSE
899	P27449	P25515	0.683870967742	153	9	106	47	2	213	P27449	P25515	ATP6V0C	VMA3	FALSE	TRUE	Vacuolar Membrane Atpase	483	YEL027W	S000000753	https://www.yeastgenome.org/locus/S000000753	TRUE	TRUE	TRUE	FALSE
1500	Q16864	P39111	0.512605042017	115	7	61	54	4	113	Q16864	P39111	ATP6V1F	VMA7	FALSE	TRUE	Vacuolar Membrane Atpase	357	YGR020C	S000003252	https://www.yeastgenome.org/locus/S000003252	TRUE	TRUE	TRUE	FALSE
810	Q9Y5K8	P32610	0.496	245	13	124	121	5	233	Q9Y5K8	P32610	ATP6V1D	VMA8	FALSE	TRUE	Vacuolar Membrane Atpase	771	YEL051W	S000000777	https://www.yeastgenome.org/locus/S000000777	TRUE	TRUE	TRUE	FALSE
1288	Q9H8Y5	Q04311	0.266086956522	548	262	153	395	27	143	Q9H8Y5	Q04311	ANKZF1	VMS1	FALSE	TRUE	VCP/Cdc48-associated Mitochondrial Stress-responsive	1899	YDR049W	S000002456	https://www.yeastgenome.org/locus/S000002456	TRUE	TRUE	FALSE	FALSE
260	Q99570	P22219	0.280941533789	1277	258	370	907	40	468	Q99570	P22219	PIK3R4	VPS15	FALSE	TRUE	Vacuolar Protein Sorting	4365	YBR097W	S000000301	https://www.yeastgenome.org/locus/S000000301	TRUE	FALSE	TRUE	FALSE
1121	Q9H269	Q03308	0.221216041397	744	149	171	573	29	171	Q9H269	Q03308	VPS16	VPS16	TRUE	FALSE	Vacuolar Protein Sorting	2397	YPL045W	S000005966	https://www.yeastgenome.org/locus/S000005966	TRUE	FALSE	TRUE	FALSE
1645	Q96FZ7	Q04272	0.28078817734	195	32	57	138	8	96	Q96FZ7	Q04272	CHMP6	VPS20	TRUE	TRUE	Vacuolar Protein Sorting	666	YMR077C	S000004682	https://www.yeastgenome.org/locus/S000004682	TRUE	FALSE	TRUE	TRUE
1469	Q9UK41	Q02767	0.301801801802	214	35	67	147	8	117	Q9UK41	Q02767	VPS28	VPS28	FALSE	TRUE	Vacuolar Protein Sorting	729	YPL065W	S000005986	https://www.yeastgenome.org/locus/S000005986	TRUE	TRUE	FALSE	FALSE
207	Q8NEB9	P22543	0.363109048724	846	70	313	533	16	530	Q8NEB9	P22543	PIK3C3	VPS34	TRUE	TRUE	Vacuolar Protein Sorting	2628	YLR240W	S000004230	https://www.yeastgenome.org/locus/S000004230	TRUE	FALSE	TRUE	FALSE
1303	Q5VIR6	P47061	0.213930348259	584	353	129	455	19	141	Q5VIR6	P47061	VPS53	VPS53	FALSE	TRUE	Vacuolar Protein Sorting	2469	YJL029C	S000003566	https://www.yeastgenome.org/locus/S000003566	TRUE	FALSE	TRUE	FALSE
1503	Q9NZZ3	Q03390	0.305555555556	211	26	66	145	5	113	Q9NZZ3	Q03390	CHMP5	VPS60	TRUE	TRUE	Vacuolar Protein Sorting	690	YDR486C	S000002894	https://www.yeastgenome.org/locus/S000002894	TRUE	TRUE	FALSE	FALSE
600	O75191	P42826	0.334572490706	526	84	180	346	12	291	O75191	P42826	XYLB	XKS1	TRUE	FALSE	XyluloKinaSe	1803	YGR194C	S000003426	https://www.yeastgenome.org/locus/S000003426	TRUE	FALSE	FALSE	TRUE
1728	O15212	P52553	0.418803418803	114	15	49	65	3	85	O15212	P52553	PFDN6	YKE2	TRUE	FALSE	Yeast ortholog of mouse KE2	345	YLR200W	S000004190	https://www.yeastgenome.org/locus/S000004190	TRUE	FALSE	TRUE	FALSE
279	Q96TA2	P32795	0.408104196816	674	172	282	392	17	460	Q96TA2	P32795	YME1L1	YME1	FALSE	TRUE	Yeast Mitochondrial Escape	2244	YPR024W	S000006228	https://www.yeastgenome.org/locus/S000006228	TRUE	FALSE	TRUE	FALSE
299	P11413	P11412	0.46	491	38	230	261	9	439	P11413	P11412	G6PD	ZWF1	TRUE	FALSE	ZWischenFerment	1518	YNL241C	S000005185	https://www.yeastgenome.org/locus/S000005185	TRUE	TRUE	FALSE	FALSE
